序号,公告标题,发布日期,跳转链接 
['6'],['广州市番禺区融媒体中心融媒体云平台——融媒体数据交换平台服务采购项目(CZ2020-1524)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735253.jhtml']
['7'],['广州开发区规划和自然资源局、广州市规划和自然资源局黄埔区分局律师服务采购项目(CZ2020-1480)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735230.jhtml']
['8'],['广州市妇女儿童医疗中心2020年办公耗材采购项目(CZ2020-1346)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735218.jhtml']
['9'],['广州市公安局白云区分局人身意外伤害保险采购项目(CZ2020-1390)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735213.jhtml']
['10'],['广州市康纳学校（广州儿童孤独症康复研究中心）2020年-2023年校车租赁服务采购项目(CJ2020-0042)竞争性谈判公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735198.jhtml']
['1'],['广州市人力资源和社会保障信息中心2020年运维项目（GZIT2020-B6-398）之社会保障信息系统运维子项目(CZ2020-1307)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735195.jhtml']
['2'],['广州市市政职业学校2020年度信息化建设第三子项校园安全监控系统建设项目(CZ2020-1398)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735193.jhtml']
['3'],['中国共产党广州市纪律检查委员会安全保障服务采购项目(CD2020-0082)单一来源采购公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735026.jhtml']
['4'],['中国共产党广州市纪律检查委员会物业管理及后勤保障服务采购项目(CD2020-0080)单一来源采购公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/735002.jhtml']
['5'],['中国共产党广州市委员会组织部广东省2020年考试录用公务员广州考区面试考务服务采购项目(CD2020-0087)单一来源采购公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734993.jhtml']
['6'],[' 广州市妇女儿童医疗中心增城院区项目厨房设备采购项目(CZ2020-0946)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734991.jhtml']
['7'],['中国共产党广州市委员会组织部2020年市直机关科级公务员任职培训(CD2020-0084)单一来源采购公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734987.jhtml']
['8'],['广州市人力资源和社会保障信息中心2020年运维项目之网络线路租赁服务子项目(CZ2020-1484)招标公告'],['2020-09-18'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734983.jhtml']
['9'],['广州市电化教育馆两年后勤服务采购项目(CC2020-0134)竞争性磋商公告'],['2020-09-17'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734664.jhtml']
['10'],['广州市救助管理站广州市受助人员安置中心医疗购买服务采购项目(CZ2020-1244)招标公告'],['2020-09-17'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734601.jhtml']
['1'],['广州市番禺区南村镇里仁洞小学信息化设备设施采购项目(CZ2020-1334)招标公告'],['2020-09-17'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734587.jhtml']
['2'],['广州市白云区电子政务网络安全运管服务采购项目(CZ2020-1373)招标公告'],['2020-09-17'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734503.jhtml']
['3'],['广州医科大学附属第一医院HRP系统二期项目(CC2020-0136)竞争性磋商公告'],['2020-09-17'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734502.jhtml']
['4'],['广州市番禺区何贤纪念医院消毒供应系统升级开发服务采购项目(CJ2020-0040)竞争性谈判公告'],['2020-09-17'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734449.jhtml']
['5'],['广州市番禺区政务服务数据管理局令行禁止有呼必应综合指挥调度平台开发采购项目(CZ2020-1256)招标公告'],['2020-09-17'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734390.jhtml']
['6'],['广州市中西医结合医院医院物流机器人采购项目(CZ2020-1439)招标公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734271.jhtml']
['7'],['广州市南沙区教育局进港大道中学校信息化基础设施建设采购项目(CZ2020-1149)招标公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734250.jhtml']
['8'],['广州计量检测技术研究院2020年度广州计量院实验室场地租赁采购项目(CZ2020-1476)招标公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734239.jhtml']
['9'],['广州市荔湾区教育局中考理化试验操作考试考点信息化建设项目(CZ2020-1392)招标公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734223.jhtml']
['10'],['广州市消防救援支队2020年机关食堂管理外包采购项目(CC2020-0146)竞争性磋商公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734213.jhtml']
['1'],['广州市南沙区政务服务数据管理局南沙区云视频会议平台二期建设采购项目(CZ2020-1325)招标公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734185.jhtml']
['2'],['广州市第一人民医院远程会诊系统采购项目(CZ2020-1213)招标公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734170.jhtml']
['3'],['广州市南沙区政务服务数据管理局2020年南沙区电子政务网络数据库系统维护采购项目(CZ2020-1310)招标公告'],['2020-09-16'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734121.jhtml']
['4'],['广州市住房和城乡建设局2020年度信息化运维之二项目(CZ2020-1353)招标公告'],['2020-09-15'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/734003.jhtml']
['5'],['广州铁路职业技术学院轨道交通牵引变电智能控制实训室采购项目(CZ2020-1174)招标公告'],['2020-09-15'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733916.jhtml']
['6'],['广州市番禺区沙湾镇荟贤小学信息化建设采购项目(CZ2020-1446)招标公告'],['2020-09-15'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733910.jhtml']
['7'],['中国人民银行广州分行2020年广州市财税库行横向联网系统服务外包项目(CZ2020-0968)招标公告'],['2020-09-15'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733907.jhtml']
['8'],['广州市旅游商务职业学校2020年信息化建设项目(CZ2020-1210)招标公告'],['2020-09-15'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733840.jhtml']
['9'],['广州市南沙区建设中心南沙区基建项目建设综合管理信息系统采购项目(CZ2019-1662)招标公告'],['2020-09-15'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733830.jhtml']
['10'],['广州市花都区炭步镇人民政府炭步镇水域保洁采购项目(CZ2020-1357)招标公告'],['2020-09-14'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733697.jhtml']
['1'],['广州市增城区2020-2022年旧村全面改造市场区片价评估采购项目(CZ2020-1426)招标公告'],['2020-09-14'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733694.jhtml']
['2'],['广州市番禺区教育局2020年幼教办公家具设备采购项目(CZ2020-1115)招标公告'],['2020-09-14'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733605.jhtml']
['3'],['广州市消防救援支队在全市楼宇电梯内电视屏幕投放消防宣传广告采购项目(CC2020-0141)竞争性磋商公告'],['2020-09-14'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733596.jhtml']
['4'],['广州市公安局天河区分局法医毒物司法鉴定服务项目(CC2020-0092)竞争性磋商公告'],['2020-09-14'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733586.jhtml']
['5'],['广州市天河区人民医院采购保洁服务采购项目(CZ2020-1289)招标公告'],['2020-09-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733197.jhtml']
['6'],['广州市增城区人民法院物业管理服务采购项目(CZ2020-1339)招标公告'],['2020-09-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733168.jhtml']
['7'],['广州市南沙区政务服务数据管理局2020南沙区电子政务网络安全保障服务采购项目(CZ2020-1320)招标公告'],['2020-09-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733109.jhtml']
['8'],['中共广州市白云区委政法委员会广州市白云区矛盾纠纷多元化解平台建设采购项目(CZ2020-1468)招标公告'],['2020-09-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733108.jhtml']
['9'],['广州市南沙区政务服务数据管理局2020年南沙区电子政务网络基础设施维护采购项目(CZ2020-1326)招标公告'],['2020-09-11'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/733104.jhtml']
['10'],['广州市番禺区人民政府小谷围街道办事处2020-2021年小谷围街十三条河涌及九个小微水体、大学城中心湖管理服务采购项目(CC2020-0128)竞争性磋商公告'],['2020-09-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732926.jhtml']
['1'],['广州市番禺区老龄工作委员会办公室“银龄安康行动”保险服务单一来源采购项目(CD2020-0081)单一来源采购公告'],['2020-09-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732823.jhtml']
['2'],['广州市公安局反恐训练基地基础信息化及指挥中心建设项目(CZ2020-1027)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732623.jhtml']
['3'],['广州市花都区政务服务数据管理局花都区市民广场项目政务综合服务中心大楼智能化设备采购项目(CZ2020-1387)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732613.jhtml']
['4'],['广州市住房和城乡建设局2020年度信息化运维之三项目(CZ2020-1264)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732603.jhtml']
['5'],['增江街凤塔社区生活垃圾分类服务采购项目(CZ2020-1272)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732587.jhtml']
['6'],['广州市人力资源和社会保障信息中心2020年运维项目(GZIT2020-B6-398) 之公共服务运维子项目(CZ2020-1354)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732576.jhtml']
['7'],['广州市规划和自然资源局广州市中心城区不动产登记数据整合项目--子项2:广州市中心城区不动产登记数据整合第三方项目管理及质检项目(CZ2020-1179)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732575.jhtml']
['8'],['广州市教育信息中心（广州市电化教育馆）2020年信息化新建项目之广州市教育局会议室集成改造(CC2020-0100)竞争性磋商公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732566.jhtml']
['9'],['广州市教育信息中心（广州市电化教育馆）2020年信息化新建项目之评审会议系统(CC2020-0097)竞争性磋商公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732565.jhtml']
['10'],['广州市天河区卫生健康局天河区母婴安康生育综合保障服务采购项目(CC2020-0131)竞争性磋商公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732563.jhtml']
['1'],['广州市市政职业学校2020年度信息化建设第二子项土建施工虚拟仿真教学实训室系统建设项目(CZ2020-1396)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732561.jhtml']
['2'],['广州市天河区人民政府珠吉街道办事处广州市天河区珠村数字高清治安监控系统建设项目                                               (CZ2020-1019)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732544.jhtml']
['3'],['广东华侨中学2020年信息化建设采购项目(CZ2020-1241)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732540.jhtml']
['4'],['广州市白云区司法局法律顾问服务采购项目(CC2020-0138)竞争性磋商公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732533.jhtml']
['5'],['广州市白云区人民检察院饭堂食材配送采购项目(CZ2020-1377)招标公告'],['2020-09-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732531.jhtml']
['6'],['广州市房地产档案馆2020年度计算机网络系统工程及应用安全加固项目(CZ2020-1336)招标公告'],['2020-09-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732337.jhtml']
['7'],['中国人民银行广州分行3号院安全保卫指挥中心及自动化立库控制室电视墙等监控设施升级改造采购项目(CZ2020-1184)招标公告'],['2020-09-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732334.jhtml']
['8'],['广州市康纳学校（广州儿童孤独症康复研究中心）2020年-2023年校车租赁服务采购项目(CJ2020-0037)竞争性谈判公告'],['2020-09-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732327.jhtml']
['9'],['广州市荔湾中心医院信息化软硬件设备及精密空调系统采购项目(CZ2020-1330)招标公告'],['2020-09-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732315.jhtml']
['10'],['广州科技贸易职业学院2020年教育信息化建设项目之后勤管理平台及招标采购管理平台建设项目(CZ2020-1007)招标公告'],['2020-09-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732306.jhtml']
['1'],['广州市白云区“令行禁止、有呼必应”综合指挥调度平台项目监理服务项目(CZ2020-1270)招标公告'],['2020-09-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732282.jhtml']
['2'],['广州市南沙区政务服务数据管理局2020年南沙区数据治理采购项目(CZ2020-1327)招标公告'],['2020-09-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732225.jhtml']
['3'],['广州市白云区广药集团彩印厂仓储地块、华南医疗器械有限公司地块（AB3001、AB3104规划管理单元）控制性详细规划服务采购项目(CZ2020-1335)招标公告'],['2020-09-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732094.jhtml']
['4'],['广州市农业农村局穗农云（都市农业智慧地图）项目(CZ2020-1281)招标公告'],['2020-09-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732054.jhtml']
['5'],['广州市道路扩建工程管理中心城维计划-征收补偿业务常年法律顾问服务采购项目(CZ2020-1340)招标公告'],['2020-09-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732049.jhtml']
['6'],['2020年广州大学城建筑固体废弃物清运服务采购项目(CC2020-0094)竞争性磋商公告'],['2020-09-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/732014.jhtml']
['7'],['广州市交通运输局2020年信息化系统运行维护项目(CZ2020-1254)招标公告'],['2020-09-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731995.jhtml']
['8'],['广州市白云区国家档案馆新馆智慧楼宇建设采购项目(CZ2020-1348)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731529.jhtml']
['9'],['广州市审计局档案数字化采购项目(CZ2020-1345)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731509.jhtml']
['10'],['广州市增城区荔湖街道办事处办公场所和业务场所（党群服务中心及政务中心）物业管理服务采购项目(CZ2020-1425)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731508.jhtml']
['1'],['中共广州市从化区委应急指挥中心建设采购项目(CZ2020-1303)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731488.jhtml']
['2'],['广州市人民检察院重大案件讯问合法性智能审查硬件采购项目(CZ2020-1043)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731456.jhtml']
['3'],['广州科技贸易职业学院网络实训室建设采购项目(CZ2020-1253)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731414.jhtml']
['4'],['广州市增城区中医医院关于广东省信息便民“五个一”攻坚行动配套建设采购项目(CZ2020-1239)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731396.jhtml']
['5'],['广州市增城区卫生健康局市基层卫生信息化应用推广项目建设（增城）三期采购项目(CZ2020-0541)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731390.jhtml']
['6'],['番禺区不动产登记存量数据整合迁移项目作业服务采购项目(CZ2020-1103)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731374.jhtml']
['7'],['广州市番禺区何贤纪念医院消毒供应系统升级开发服务采购项目(CJ2020-0034)竞争性谈判公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731357.jhtml']
['8'],['广州市增城裕安停车场动静态整车称重超限检测系统建设项目(CC2020-0137)竞争性磋商公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731078.jhtml']
['9'],['中共广州市委军民融合发展委员会办公室2020年广州市海防视频监控系统项目(CZ2020-1160)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731072.jhtml']
['10'],['广州医科大学附属第五医院药品使用全流程监管项目(CZ2020-1235)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731070.jhtml']
['1'],['广州市土地开发中心工程建设项目招标代理服务(CZ2020-1315)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/731050.jhtml']
['2'],['广州市公安局南沙区分局2020-2021年特殊公安工作用车租赁采购项目(CZ2020-1416)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730983.jhtml']
['3'],['广州市越秀区城市管理和综合执法局采购越秀区城市管理视频监控系统智能识别系统（三期）续租服务项目(CC2020-0124)竞争性磋商公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730974.jhtml']
['4'],['广州市南沙区榄核镇人民政府榄核镇黄榄快速干线等4条道路保洁项目服务外包采购项目(CZ2020-1314)招标公告'],['2020-09-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730967.jhtml']
['5'],[' 广州市增城区2021年度科技创新工作辅助管理服务项目(CZ2020-1205)招标公告'],['2020-09-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730764.jhtml']
['6'],['广州市番禺区大龙街应急垃圾处理项目(CZ2020-1405)招标公告'],['2020-09-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730680.jhtml']
['7'],['广州市疾病预防控制中心2020年度信息化建设项目(CZ2020-1309)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730367.jhtml']
['8'],['广州市城市社区网格化服务项目(CZ2020-1423)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730359.jhtml']
['9'],['2020年广州市教育科研网出口流量租赁及应用系统维护项目（广州市教育科研网链路及带宽租赁项目）(CZ2020-1107)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730352.jhtml']
['10'],['2020年广州市教育科研网出口流量租赁及应用系统维护项目(广州市教育科研网链路及带宽租赁项目)之广州市教育科研网互联网出口流量租赁服务(CZ2020-1101)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730323.jhtml']
['1'],['增城经济技术开发区二期员工生活配套区项目第二批家电供应及安装采购项目(CZ2020-1395)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730302.jhtml']
['2'],['广州市荔湾区消防救援大队及属下各消防站食堂食材配送项目(CZ2020-1268)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730301.jhtml']
['3'],['广州市公安局天河区分局2020-2021年度民警、职工体检服务采购项目(CZ2020-1414)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730133.jhtml']
['4'],['广州市老人院扩建一期饭堂设施设备采购项目(CZ2020-0897)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730131.jhtml']
['5'],['广州市青年就业创业服务中心2020年穗港澳青年就业创业服务平台采购项目(CZ2020-1297)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730121.jhtml']
['6'],['广州市增城区石滩镇综合指挥中心系统服务项目(CZ2020-1233)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730114.jhtml']
['7'],['广州市消防救援支队2020年机关食堂管理外包采购项目(CC2020-0125)竞争性磋商公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730070.jhtml']
['8'],['广州市道路扩建工程管理中心2020年度桌面办公设备运行维护采购项目(CZ2020-0804)招标公告'],['2020-09-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/730066.jhtml']
['9'],['广州市增城区2020年行人闯红灯抓拍系统和车载视频执法系统项目(CZ2020-1267)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729953.jhtml']
['10'],['广州市公安局增城区分局增城区2020年固定测速设备补点建设项目(CZ2020-1164)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729950.jhtml']
['1'],['广州市人力资源和社会保障信息中心2020年运维项目之主机系统运维服务子项目(CZ2020-1261)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729935.jhtml']
['2'],['广州计量检测技术研究院2020年标准化业务安全平台及网络安全设施加固项目子项目1(CZ2020-1312)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729934.jhtml']
['3'],['广州市南沙区卫生健康局南沙免疫规划信息管理系统采购项目(CZ2020-0931)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729925.jhtml']
['4'],['广州市花都区人民政府新雅街道办事处新雅街六条行政村环卫保洁服务采购项目(CZ2020-1137)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729923.jhtml']
['5'],['广州市信息安全测评中心广州市电子政务量子保密通信服务（一期）项目(CD2020-0066)单一来源采购公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729890.jhtml']
['6'],['广州市番禺区教育局初中学业水平考试理化生实验操作考试场室信息化设备采购项目(CZ2020-1263)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729869.jhtml']
['7'],['广州市增城区林长制综合管理信息系统监理服务项目(CC2020-0127)竞争性磋商公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729843.jhtml']
['8'],['广州市番禺区市桥星海中学5G智慧校园项目(CZ2020-1050)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729834.jhtml']
['9'],['广州市第一人民医院法律顾问服务采购项目(CZ2020-0947)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729815.jhtml']
['10'],['广州市公安局白云区分局软件开发采购项目(CZ2020-1318)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729746.jhtml']
['1'],['广州市番禺区不动产登记存量数据整合迁移项目统筹服务(CZ2020-1108)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729737.jhtml']
['2'],['广州市番禺区石楼教育指导中心（番禺附属幼儿园）厨卫用具采购项目(CZ2020-1052)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729732.jhtml']
['3'],['广州市住房和城乡建设局2020年度信息化运维之一项目(CZ2020-1262)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729731.jhtml']
['4'],['花都区三东村（含罗仙村八队）旧村全面改造项目(CZ2020-1385)招标公告'],['2020-09-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729717.jhtml']
['5'],['南沙区大岗镇鸭利村更新改造项目(CZ2020-1400)招标公告'],['2020-08-31'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729601.jhtml']
['6'],['广州市番禺区南村镇南村村旧村改造项目(CZ2020-1384)公开引入合作企业的公告'],['2020-08-31'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/729822.jhtml']
['7'],['广州计量检测技术研究院智慧计量及检务系统三期项目子包二(CZ2020-1313)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727995.jhtml']
['8'],['广州市土地房产管理职业学校IP广播音响系统升级改造项目(CZ2020-1127)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727991.jhtml']
['9'],['广州市2020年度第二周期台式计算机设备批量集中采购项目(CZ2020-1249)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727919.jhtml']
['10'],['广州工程技术职业学院虚拟仿真课题研究购置经费采购项目(CC2020-0126)竞争性磋商公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727909.jhtml']
['1'],['广州市南沙区人民法院物业管理服务采购项目(CZ2020-1274)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727877.jhtml']
['2'],['广州市康纳学校（广州儿童孤独症康复研究中心）2020年-2023年校车租赁服务采购项目(CJ2020-0035)竞争性谈判公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727788.jhtml']
['3'],['广州市番禺区沙湾镇福涌小学信息化设备设施采购项目(CZ2020-1165)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727626.jhtml']
['4'],['广州市番禺区融媒体中心融媒体云平台项目--区数字电视播出系统改造工程(CZ2020-1260)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727624.jhtml']
['5'],['广州市番禺区融媒体中心融媒体云平台——融媒体数据交换平台服务采购项目(CZ2020-1350)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727619.jhtml']
['6'],['广州市2020年度第二周期便携式计算机设备批量集中采购项目(CZ2020-1252)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727599.jhtml']
['7'],['广州市南沙区南沙街环卫清洁服务外包项目(CZ2020-0965)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727566.jhtml']
['8'],['广州市增城区市场监督管理局网络交易监督管理平台项目(CZ2020-1089)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727565.jhtml']
['9'],['广州市南沙区卫生健康局中山大学附属第一（南沙）医院信息基础设施与智能化管控平台建设采购项目(CZ2020-1061)招标公告'],['2020-08-28'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/727525.jhtml']
