截止时间,项目标题,开始时间,结束时间,跳转链接 
"['12-07', '2020']",['《2019年广东电影年鉴》编写出版项目（第二次）成交结果公告'],['2020-12-07 20:31:00'],['2020-12-07 20:31:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85486.htm']
"['12-07', '2020']",['广东有线广播电视网络有限公司三线整治公共路由建设采购项目(中国移动广州分公司牵头实施区域)单一来源谈判公示'],['2020-12-07 20:25:00'],['2020-12-07 20:25:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85485.htm']
"['12-07', '2020']",['广东有线广播电视网络有限公司三线整治公共路由建设采购项目(中国联通广州分公司牵头实施区域)单一来源谈判公示'],['2020-12-07 20:24:00'],['2020-12-07 20:24:00'],['https://www.chengezhao.com//cms/channel/ywgg4gc/85484.htm']
"['12-07', '2020']",['广东有线广播电视网络有限公司三线整治公共路由建设采购项目(中国电信广州分公司牵头实施区域)单一来源谈判公示'],['2020-12-07 20:24:00'],['2020-12-07 20:24:00'],['https://www.chengezhao.com//cms/channel/ywgg4gc/85483.htm']
"['12-07', '2020']",['中国铁塔股份有限公司淮北市分公司2020年室分高增益板状天线采购项目中标候选人公示'],['2020-11-13 00:00:00'],['2020-11-18 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85482.htm']
"['12-07', '2020']",['深圳市宝安区疾病预防控制中心公务用车维修年度服务项目项目招标公告'],['2020-12-07 09:00:00'],['2020-12-14 18:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85481.htm']
"['12-07', '2020']",['办公用房装修改造及设计、监理服务（维修（护）费）工程设计服务采购项目公告'],['2020-12-07 09:00:00'],['2020-12-14 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85480.htm']
"['12-07', '2020']",['关于广州燃气集团有限公司钢制球阀采购项目招标文件澄清公告'],['2020-12-07 19:03:00'],['2020-12-07 19:03:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85479.htm']
"['12-07', '2020']",['中国人民人寿保险湖南省分公司全省员工西装（西服+西裤、冬季大衣）采购项目招标公告'],['2020-12-07 09:00:00'],['2020-12-14 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85478.htm']
"['12-07', '2020']",['数字江门网络建设有限公司招商项目服务平台建设服务采购项目中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85477.htm']
"['12-07', '2020']",['数字江门网络建设有限公司医疗服务DRG分组支付病例筛选及医疗评价系统项目中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85476.htm']
"['12-07', '2020']",['数字江门网络建设有限公司中心机房及镇街级公共服务中心设备运维服务项目中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85475.htm']
"['12-07', '2020']",['室内装修改造项目变更公告'],['2020-12-07 18:28:00'],['2020-12-07 18:28:00'],['https://www.chengezhao.com//cms/channel/ywgg2gc/85474.htm']
"['12-07', '2020']",['禅城区公交专用道第五期建设及公交路口优先改造工程信息化设施竞争性磋商公告'],['2020-12-07 09:00:00'],['2020-12-10 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85473.htm']
"['12-07', '2020']",['广发银行东莞分行电子社保卡业务机具外包服务项目招标公告'],['2020-12-07 09:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85472.htm']
"['12-07', '2020']",['交通银行股份有限公司中山分行宣传物料制作供应商入围、广告设计及活动策划供应商建库项目-广告设计及活动策划-标包2中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85471.htm']
"['12-07', '2020']",['交通银行股份有限公司中山分行宣传物料制作供应商入围、广告设计及活动策划供应商建库项目-宣传物料制作-标包1中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85470.htm']
"['12-07', '2020']",['湖北中医药大学防疫物资采购项目询价公告'],['2020-12-07 09:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85469.htm']
"['12-07', '2020']",['交通银行股份有限公司东莞分行2021-2022年度卫生保洁服务项目中标候选人公示'],['2020-12-08 00:00:00'],['2020-12-10 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85468.htm']
"['12-07', '2020']",['中国电信重庆公司2020年云计算二期E栋6楼空调末端配套工程施工服务采购项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85467.htm']
"['12-07', '2020']",['2020年深圳市公话亭及地铁公话机拆除项目施工服务框架采购项目公告'],['2020-12-07 09:00:00'],['2020-12-09 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85466.htm']
"['12-07', '2020']",['2020年深圳市公话亭及地铁公话机拆除项目施工服务框架采购项目公告'],['2020-12-07 09:00:00'],['2020-12-09 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85465.htm']
"['12-07', '2020']",['2020年广东广信通信服务有限公司佛山西樵镇“四标四实”基础信息采集服务项目（第二次）中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-10 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85463.htm']
"['12-07', '2020']",['多功能现金机设备采购协议（第二次）项目中标公告'],['2020-12-07 17:31:00'],['2020-12-07 17:31:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85462.htm']
"['12-07', '2020']",['佛山市南海区妇幼保健院互联网医院运营项目成交公告'],['2020-12-07 17:20:00'],['2020-12-07 17:20:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85461.htm']
"['12-07', '2020']",['数字江门网络建设有限公司医疗服务调价分析系统项目谈判失败公告'],['2020-12-07 17:17:00'],['2020-12-07 17:17:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85460.htm']
"['12-07', '2020']",['中国移动天津公司2021-2023年会计档案装订采购框架项目（第二次）项目公告'],['2020-12-07 09:00:00'],['2020-12-11 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85459.htm']
"['12-07', '2020']",['中国移动天津公司2021年网管资源池等一体化运维四合一服务框架项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85458.htm']
"['12-07', '2020']",['广发银行股份有限公司南宁分行押运寄库服务外包项目（第三次）中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-10 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85457.htm']
"['12-07', '2020']",['中山市小榄水务有限公司2021-2022年液态聚氯化铝采购项目（07-02-04A-2020-D-E17569）的中标公告'],['2020-12-07 16:30:00'],['2020-12-07 16:30:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85456.htm']
"['12-07', '2020']",['天津市水文水资源管理中心四个分中心离任审计项目中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-08 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85455.htm']
"['12-07', '2020']",['珠海机场数据中心及服务总线使能平台项目招标公告'],['2020-12-07 09:00:00'],['2020-12-14 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85454.htm']
"['12-07', '2020']",['2021-2022年河源分公司基础网设计服务框架（重新招标）项目招标公告'],['2020-12-07 09:00:00'],['2020-12-13 12:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85453.htm']
"['12-07', '2020']",['费用报销及常规运营支持简单业务外包项目-中标结果公示'],['2020-12-07 16:08:00'],['2020-12-07 16:08:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85452.htm']
"['12-07', '2020']",['江西天然气黎川有限公司2020-2022年燃气管线监理项目（第二次）中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85451.htm']
"['12-04', '2020']",[' 某部旋风筒、导流管采购项目（重新采购）项目公告'],[''],[''],['https://www.chengezhao.com//cms/channel/ywgg1hw/85450.htm']
"['12-07', '2020']",['石马公交立体充电桩停车场10000KVA电力专线工程可行性研究技术服务项目成交结果公告'],['2020-12-07 15:49:00'],['2020-12-07 15:49:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85449.htm']
"['12-07', '2020']",['中国人寿保险股份有限公司湖南省分公司生日贺礼服务入围项目(第三次)中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85448.htm']
"['12-07', '2020']",['交通银行股份有限公司广东省分行本部因私证照智能证件柜采购项目中标候选人公示'],['2020-12-08 00:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85447.htm']
"['12-07', '2020']",['2020年惠阳分公司食堂食材采购项目（二期）中标候选人公示'],['2020-12-07 00:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85446.htm']
"['12-07', '2020']",['机场东南工作区A5地块规范化改造项目中标候选人公示'],['2020-12-08 00:00:00'],['2020-12-10 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3gc/85445.htm']
"['12-07', '2020']",['天河站副食品定点采购项目竞争性磋商公告'],['2020-12-07 09:00:00'],['2020-12-14 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85444.htm']
"['12-07', '2020']",['深圳第二外国语学校学生课桌椅采购项目中标公告'],['2020-12-07 12:55:00'],['2020-12-07 12:55:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85443.htm']
"['12-07', '2020']",['广东省广播电视网络股份有限公司潮州分公司湘桥区综治视联网PTN系统建设项目（第二次）项目招标公告'],['2020-12-07 09:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85442.htm']
"['12-07', '2020']",['武汉天河机场员工倒班楼热水器采购项目（第二次）重新确定成交人结果公告'],['2020-12-07 11:59:00'],['2020-12-07 11:59:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85441.htm']
"['12-07', '2020']",['武汉天河机场员工倒班楼热水器采购项目（第二次）重新确定成交人结果公告'],['2020-12-07 11:51:00'],['2020-12-07 11:51:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85440.htm']
"['12-07', '2020']",['数字江门网络建设有限公司技术支撑服务项目成交结果公告'],['2020-12-07 11:20:00'],['2020-12-07 11:20:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85439.htm']
"['12-07', '2020']",['广发银行广州分行2020年信用卡B端金融项目项目招标公告'],['2020-12-07 09:00:00'],['2020-12-14 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85438.htm']
"['12-07', '2020']",['2020年中国电信东莞分公司东莞市第十批智慧政务项目中标候选人公示'],['2020-12-05 00:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85437.htm']
"['12-07', '2020']",['某单位座位套定制采购项目竞争性谈判公告（第三次）'],['2020-12-07 09:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85436.htm']
"['12-07', '2020']",['特种车辆器材采购项目中标候选人公示'],['2020-12-01 00:00:00'],['2020-12-03 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85435.htm']
"['12-07', '2020']",['交通银行股份有限公司中山分行 2020 年员工工作服清洗服务项目中标候选人公示'],['2020-12-07 10:04:00'],['2020-12-07 10:04:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85434.htm']
"['12-06', '2020']",['普宁市疾病预防控制中心现场流调处置设备采购项目项目公告'],['2020-12-06 09:00:00'],['2020-12-11 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85433.htm']
"['12-06', '2020']",['中国人寿保险股份有限公司湖南省分公司食堂食材采购入围供应商项目（第二次）招标公告'],['2020-12-05 09:00:00'],['2020-12-15 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85432.htm']
"['12-05', '2020']",['关于中国电信股份有限公司六安分公司霍山综合楼施工临时用电10KV线路变压器2020年项目的比选公告'],['2020-12-05 09:00:00'],['2020-12-07 18:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85431.htm']
"['12-05', '2020']",['2020年慈溪公司广告制作设计单位选聘公开询价项目（第三次）中标候选人公示'],['2020-12-05 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85430.htm']
"['12-05', '2020']",['中华人民共和国天河出入境边防检查站东站执勤现场零星维修改造工程成交公告'],['2020-12-05 09:44:00'],['2020-12-05 09:44:00'],['https://www.chengezhao.com//cms/channel/ywgg4gc/85429.htm']
"['12-05', '2020']",['数字江门网络建设有限公司政府门户网站运维（2020-2021年度）项目成交结果公告'],['2020-12-05 08:39:00'],['2020-12-05 08:39:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85428.htm']
"['12-04', '2020']",['饭堂食材配送采购项目项目招标公告'],['2020-12-04 09:00:00'],['2020-12-11 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85427.htm']
"['12-04', '2020']",['广州银行2020年第一期信用卡资产流转结构性产品受托机构采购项目(第二次)项目招标公告'],['2020-12-04 09:00:00'],['2020-12-11 23:59:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85426.htm']
"['12-04', '2020']",['中国邮政储蓄银行股份有限公司赣州市分行营业部及南康潭口镇支行、会昌县支行武装押运服务采购项目会昌县支行标包（第三次）公告'],['2020-12-04 09:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85425.htm']
"['12-04', '2020']",['中国邮政储蓄银行股份有限公司赣州市分行市本部2020年女职工妇科体检项目项目公告'],['2020-12-04 09:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85424.htm']
"['12-04', '2020']",['中国邮政储蓄银行股份有限公司赣州市分行本部2020年员工体检项目项目公告'],['2020-12-04 09:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85423.htm']
"['12-04', '2020']",['汕头市第三人民医院留验楼设备带系统及配套工程项目项目招标公告'],['2020-12-04 09:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85422.htm']
"['12-04', '2020']",['2020年中国电信东莞分公司信息大厦视频会议系统高清改造项目项目公告'],['2020-12-04 09:00:00'],['2020-12-07 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85421.htm']
"['12-04', '2020']",['白云机场中水回用管网系统建设项目可行性研究工作项目招标公告'],['2020-12-04 09:00:00'],['2020-12-11 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85420.htm']
"['12-04', '2020']",['广州艺术博物院2021年展览服务外包项目项目公开招标公告'],['2020-12-04 09:00:00'],['2020-12-11 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85419.htm']
"['12-04', '2020']",['某单位2021年上半年副食品采购项目项目招标公告'],['2020-12-04 09:00:00'],['2020-12-13 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85418.htm']
"['12-04', '2020']",['广州出入境边防检查总站天河大院一栋电梯加建工程（重招）中标（成交）结果公告'],['2020-12-04 17:28:00'],['2020-12-04 17:28:00'],['https://www.chengezhao.com//cms/channel/ywgg4gc/85417.htm']
"['12-04', '2020']",['黄埔区夏港街道保税区东晖公寓智慧安防小区建设采购项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3gc/85416.htm']
"['12-04', '2020']",['港口边检综合管理信息系统升级优化项目中标公告'],['2020-12-04 17:06:00'],['2020-12-04 17:06:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85415.htm']
"['12-04', '2020']",['广东省广播电视网络股份有限公司中山分公司培训服务供应商入围资格评选项目公开招标公告'],['2020-12-04 09:00:00'],['2020-12-11 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85414.htm']
"['12-04', '2020']",['广东中烟工业有限责任公司梅州卷烟厂仓储及配套设施建设项目——勘察设计项目招标失败公告'],[''],[''],['https://www.chengezhao.com//cms/channel/ywgg2gc/85413.htm']
"['12-04', '2020']",['高明广电传输大楼首层增设道闸系统项目磋商公告'],['2020-12-04 09:00:00'],['2020-12-11 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85412.htm']
"['12-04', '2020']",['中国铁塔股份有限公司上饶市分公司2020-2022年安全警告牌采购项目比选公告'],['2020-12-04 09:00:00'],['2020-12-07 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85411.htm']
"['12-04', '2020']",['广东中烟工业有限责任公司梅州卷烟厂仓储及配套设施建设项目——勘察设计项目招标失败公告'],['2020-12-04 16:16:00'],['2020-12-04 16:16:00'],['https://www.chengezhao.com//cms/channel/ywgg2gc/85410.htm']
"['12-04', '2020']",['关于广发银行广州分行联合广州市天河区妇幼保健计划生育服务中心升级智慧医院项目单一来源采购的公示'],['2020-12-04 16:05:00'],['2020-12-04 16:05:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85409.htm']
"['12-04', '2020']",['数字江门网络建设有限公司技术支撑服务项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-06 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85408.htm']
"['12-04', '2020']",['广州长运集团有限公司省汽车客运站乘客人身意外伤害保险合作项目招商公告'],['2020-12-04 09:00:00'],['2020-12-10 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85407.htm']
"['12-04', '2020']",['广州长运集团有限公司省汽车客运站乘客人身意外伤害保险合作项目招商公告'],['2020-12-04 09:00:00'],['2020-12-10 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85406.htm']
"['12-04', '2020']",['四川省烟草公司阿坝州公司卷烟运输服务项目（第二次）招标公告'],['2020-12-04 09:00:00'],['2020-12-11 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85405.htm']
"['12-04', '2020']",['家具采购项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-08 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85404.htm']
"['12-04', '2020']",['广东省广播电视网络股份有限公司潮州分公司湘桥区综治视联网PTN系统建设项目采购失败公告'],['2020-12-04 15:29:00'],['2020-12-04 15:29:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85403.htm']
"['12-04', '2020']",['东罟步村村府前石护栏工程（第六次）项目公告'],['2020-12-03 09:00:00'],['2020-12-10 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85402.htm']
"['12-04', '2020']",['江门绿源环保有限公司混合油脂收购服务项目 竞价公告（第二次）'],['2020-12-04 15:22:00'],['2020-12-04 15:22:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85401.htm']
"['12-04', '2020']",['2020年广东广信通信服务有限公司第一批物联产品竞争性谈判采购项目-网络视频 录像机 （NVR）中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85400.htm']
"['12-04', '2020']",['2020年广东广信通信服务有限公司第一批物联产品竞争性谈判采购项目-人脸抓拍摄像机中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85399.htm']
"['12-04', '2020']",['2020年广东广信通信服务有限公司第一批物联产品竞争性谈判采购项目-视频监控摄像机中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85398.htm']
"['12-04', '2020']",['2020年广东广信通信服务有限公司第一批物联产品竞争性谈判采购项目-人脸门禁中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85397.htm']
"['12-04', '2020']",['2020年广东广信通信服务有限公司第一批物联产品竞争性谈判采购项目-二维码门禁中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85396.htm']
"['12-04', '2020']",['2020年广东广信通信服务有限公司第一批物联产品竞争性谈判采购项目-刷卡门禁中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85395.htm']
"['12-04', '2020']",['2020年广东广信通信服务有限公司第一批物联产品竞争性谈判采购项目-门禁控制器中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85394.htm']
"['12-04', '2020']",['中国电信惠州分公司惠阳区政企客户行业客户中心事业单位视频会议项目项目公告'],['2020-12-04 09:00:00'],['2020-12-08 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85393.htm']
"['12-04', '2020']",['中国铁塔股份有限公司乐山市分公司2021年度办公服务及产品项目（第二次）项目公告'],['2020-12-04 09:00:00'],['2020-12-09 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85392.htm']
"['12-04', '2020']",['中国光大银行惠州分行2020年授信档案寄存费用项目中标公告'],['2020-12-04 14:59:00'],['2020-12-04 14:59:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85391.htm']
"['12-04', '2020']",['湖北省荣军医院临时租赁移动CT项目询价公告'],['2020-12-04 09:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85390.htm']
"['12-04', '2020']",['中国移动天津公司2020-2021年传输网络优化集中采购项目项目公告'],['2020-12-04 09:00:00'],['2020-12-09 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85389.htm']
"['12-04', '2020']",['中国移动天津公司2020客户响应中心SPN网络综合测试仪表（调整）采购项目项目公告'],['2020-12-04 09:00:00'],['2020-12-08 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85388.htm']
"['12-04', '2020']",['中储棉徐州有限公司2020-2021年储备棉装卸及劳务作业服务项目（第二次）项目招标公告'],['2020-12-04 09:00:00'],['2020-12-09 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85387.htm']
"['12-04', '2020']",['广发银行佛山分行票据袋传递服务外包采购公告（二次）'],['2020-12-04 09:00:00'],['2020-12-14 10:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85386.htm']
"['12-04', '2020']",['中国移动内蒙古公司2020年互联网不良信息监测系统工程第一批主设备物资采购项目项目招标公告'],['2020-12-04 09:00:00'],['2020-12-09 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85385.htm']
"['12-04', '2020']",['海丰深燃天然气有限公司陶河天然气门站设备采购项目变更公告'],['2020-12-04 11:29:00'],['2020-12-04 11:29:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85384.htm']
"['12-04', '2020']",['广州长运集团有限公司旅游包车中心综合管理系统项目（第二次）成交结果公告'],['2020-12-04 11:20:00'],['2020-12-04 11:20:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85383.htm']
"['12-04', '2020']",['2021-2023年度海丰深燃天然气有限公司 燃气建设工程设计项目项目招标公告'],['2020-12-03 09:00:00'],['2020-12-28 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85382.htm']
"['12-04', '2020']",['2021-2023年度海丰深燃天然气有限公司 燃气建设工程设计项目项目招标公告'],['2020-12-03 09:00:00'],['2020-12-28 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85381.htm']
"['12-04', '2020']",['广东中烟工业有限责任公司企业补充医疗保险服务项目(2021-2023)中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85380.htm']
"['12-04', '2020']",['广州银行2020年第一期信用卡资产流转结构性产品主承销商采购项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85379.htm']
"['12-04', '2020']",['南海区妇幼保健院负压救护车采购项目成交公告'],['2020-12-04 10:51:00'],['2020-12-04 10:51:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85378.htm']
"['12-04', '2020']",['2021年深圳电信无线网络优化中心八卦岭邮电综合楼物业管理续约服务采购'],['2020-12-04 10:43:00'],['2020-12-04 10:43:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85377.htm']
"['12-04', '2020']",['广发银行佛山分行2021年开门红客户回馈礼品采购项目'],['2020-12-04 09:00:00'],['2020-12-15 15:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85376.htm']
"['12-04', '2020']",['深圳地铁列车紧急蓄电池改造为紧急启动单元项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-08 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85375.htm']
"['12-04', '2020']",['第十二届登山月活动服装采购项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-08 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85374.htm']
"['12-04', '2020']",['交通银行股份有限公司珠海分行2021年员工工作鞋采购项目终止公告'],['2020-12-04 09:54:00'],['2020-12-04 09:54:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85373.htm']
"['12-04', '2020']",['惠东县学校食堂互联网+“明厨亮灶”智慧监管平台服务项目项目公告'],['2020-12-04 09:00:00'],['2020-12-10 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85372.htm']
"['12-04', '2020']",['广发银行信用卡中心核销非核心业务外包项目招标公告（第二次）'],['2020-12-04 09:35:00'],['2020-12-04 09:35:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85371.htm']
"['12-04', '2020']",['广发银行哈尔滨分行现金管理外包服务项目项目招标公告'],['2020-12-04 09:00:00'],['2020-12-08 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85370.htm']
"['12-03', '2020']",['某部网络服务建设器材采购项目变更公告'],['2020-12-03 22:33:00'],['2020-12-03 22:33:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85369.htm']
"['12-03', '2020']",['广发银行深圳分行 2021-2022年技防工程项目招标公告'],['2020-12-03 09:00:00'],['2020-12-10 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85368.htm']
"['12-03', '2020']",['广发银行深圳分行2021-2022年消防工程项目招标公告'],['2020-12-03 09:00:00'],['2020-12-10 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85367.htm']
"['12-03', '2020']",['广州海关技术中心2020年疫情防控专项设备采购项目中标公告'],['2020-12-03 21:07:00'],['2020-12-03 21:07:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85366.htm']
"['12-03', '2020']",['某部特种车辆器材采购2020-JLNSHA-W3014竞争性谈判更正公告'],['2020-12-03 20:37:00'],['2020-12-03 20:37:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85365.htm']
"['12-03', '2020']",['中国电信重庆分公司2021年主城区通信楼(端局)防火封堵维修维护项目项目公告'],['2020-12-03 09:00:00'],['2020-12-08 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85364.htm']
