项目名称,发布时间,开标时间,跳转链接 
['中山市自然资源局不动产登记提速增效（信息平台2.0）项目招标公告'],['2020-07-29'],['2020-08-19'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f21359b3afc0.html']
['从化乡村振兴实践馆展览服务单一来源公示'],['2020-07-29'],['2020-07-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f212af49186f.html']
['2020年“市长杯”乒乓球、羽毛球、篮球赛（从化预赛）及从化区健身气功比赛、从化区首届桨板公开赛项目公开招标公告'],['2020-07-29'],['2020-08-19'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f21241713c1b.html']
['六和社区大岭绘画上墙磋商公告'],['2020-07-29'],['2020-08-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f20e7eb200d2.html']
['广东省标准化研究院2020年标准化技术服务项目公开招标公告'],['2020-07-28'],['2020-08-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f202f2c7b953.html']
['广东财贸职业学院体测仪器设备采购项目竞争性磋商公告'],['2020-07-28'],['2020-08-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1fe52eeed20.html']
['惠州市第三人民智慧体检平台预约管理功能项目竞争性磋商公告'],['2020-07-28'],['2020-08-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1fe43c55fdf.html']
['信宜市职业技术学校附属幼儿园35KV竹东线改线#3-#4迁改工程招标公告'],['2020-07-28'],['2020-08-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1fe3ac2335e.html']
['中山市小榄人民医院红山路铺位招租项目公开招标公告'],['2020-07-28'],['2020-08-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1fd35d2de26.html']
['广东省农村信用社联合社办公电脑采购项目（重招）竞争性谈判公告'],['2020-07-28'],['2020-08-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1faf8a608f1.html']
['中山大学校园网出口带宽服务采购项目公开招标公告'],['2020-07-27'],['2020-08-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1ee7805eee9.html']
['中山市横栏镇四沙小学智慧课室多媒体平台项目招标公告'],['2020-07-27'],['2020-08-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1e9541a8f59.html']
['中山市小榄镇社区卫生服务中心全自动生化分析仪采购项目竞争性磋商采购公告'],['2020-07-27'],['2020-08-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1e86ff13493.html']
['网络市场监测工作外包项目招标信息公告'],['2020-07-27'],['2020-08-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1e2c41d90c6.html']
['广东省国防教育学会2020年度学校军训服床上用品联合集中采购项目（第一批）竞争性磋商公告'],['2020-07-24'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1aa1489af7f.html']
['老港海关新业务技术用房精开荒及去甲醛服务采购项目竞争性磋商公告'],['2020-07-24'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1a9c9e7ad3b.html']
['华南师范大学大学城校区文二栋装修改造工程招标公告'],['2020-07-24'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1a93629bd5e.html']
['信宜市职业技术学校2019年学生技能比赛训练实训耗材购置招标公告'],['2020-07-23'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1948dc55e6e.html']
['生物岛星岛环南路96号A5栋2楼公寓租赁单一来源公告'],['2020-07-23'],['2020-07-27'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f18f50c91d75.html']
['2020年海岸线保有指标监测项目竞争性磋商公告'],['2020-07-22'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f180763ad3a5.html']
['广州市老年教育综合管理平台建设项目咨询监理服务采购项目竞争性磋商公告'],['2020-07-22'],['2020-08-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f18023770409.html']
['中国人民警察大学（广州）2020-2021年度信息化维保服务项目竞争性磋商公告'],['2020-07-22'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f17fa6963561.html']
['中山市公安局刑警支队扫黑除恶涉黑恶案件比对排查男性家族Y库建设项目招标公告'],['2020-07-22'],['2020-08-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f17f96cd6327.html']
['中山市公安局小榄分局刑侦部门电子物证设备采购项目招标公告'],['2020-07-22'],['2020-08-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f17f93bbae76.html']
['广州市黄埔区人民政府联和街道办事处 联和街联和社区社工服务站、金峰园社区社工服务站社会工作服务采购项目 招标公告'],['2020-07-22'],['2020-08-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f17f1c50fa42.html']
['中山市南区第七次全国人口普查项目竞争性磋商公告'],['2020-07-22'],['2020-08-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f17e52daa2b8.html']
['信宜市2020年乡村绿化美化示范点建设项目招标公告'],['2020-07-21'],['2020-07-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1794f055a7f.html']
['金垌镇C730线、C765线、Y303线、C786线、UG56线、CB46线、UA68线、UG57线、UG51线、UG52线、UA71线砂土路改造工程竞争性磋商公告'],['2020-07-21'],['2020-08-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f16c2ba90958.html']
['广东省立中山图书馆2021年度中文报刊资料采购项目公开招标公告'],['2020-07-21'],['2020-08-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f16bebead361.html']
['金垌镇U308线、UH05线、UE67线、C747线、WD04线、UG48线、UG53线、UG54线、UE69线、UG47线、U303线、UD03线、U311线、UE68线、C742线砂土路改造工程 竞争性磋商公告'],['2020-07-21'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f16b8ee1578e.html']
['信宜市小水电清理整改核查评估竞争性磋商公告'],['2020-07-21'],['2020-08-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f16ac6d11c96.html']
['中山市人民医院口腔分院医用气体及纯水系统采购与安装项目 磋商公告'],['2020-07-21'],['2020-08-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f16ac5698c97.html']
['广州番禺职业技术学院心理健康教育中心办公环境改造项目竞争性磋商公告'],['2020-07-21'],['2020-08-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f16a1b5801a8.html']
['分局交通事故车辆技术检验服务招标公告'],['2020-07-21'],['2020-08-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f169a9f02a5a.html']
['广州国家现代农业产业科技创新中心建设项目科技科普培训场地修缮维修工程招标公告'],['2020-07-20'],['2020-08-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f15ac3f7927e.html']
['广东省交通运输高级技工学校新能源汽车安全培训设备招标公告'],['2020-07-20'],['2020-08-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f156aed4d85b.html']
['华南理工大学三维中长距离多普勒测风激光雷达系统采购项目公开招标公告'],['2020-07-20'],['2020-07-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1566e7bdb9e.html']
['广州银行股份有限公司站前支行装修工程投标邀请函'],['2020-07-20'],['2020-08-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1560d382446.html']
['10kv钱排甲线深坑变台支线#5至#6杆迁改工程招标公告'],['2020-07-20'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1556566b850.html']
['广东省交通运输高级技工学校广州校区日常办公用品及水电五金材料配送及相关服务项目竞争性磋商公告'],['2020-07-20'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f15473248d76.html']
['惠州市第三人民医院信息安全等级保护测评服务项目竞争性磋商公告'],['2020-07-20'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1513db0369b.html']
['广东信宜农村商业银行股份有限公司车辆维修定点供应商入围资格项目招标公告'],['2020-07-20'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f14f4047cd66.html']
['“广东职工之家”东楼物业管理业务外包合作项目公开招标公告'],['2020-07-17'],['2020-08-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1171b96b709.html']
['大成镇UH89线、UD20线、UH90线、UH86线、UH87线、CG98线、UH88线、UJ74线、UJ70线、UJ71线、UJ73线、UJ75线砂土路改造工程竞争性磋商公告'],['2020-07-17'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f11226de181f.html']
['大成镇U697线、UH91线、UH97线、W548线、UH95线、UH94线、UH92线、UH93线、UJ19线砂土路改造工程竞争性磋商公告'],['2020-07-17'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1121d279b1a.html']
['东莞市松山湖横沥实验学校直饮水设施设备购买及安装项目招标公告'],['2020-07-17'],['2020-08-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f110c66a297b.html']
['广珠城轨翠亨站7米道路工程招标公告'],['2020-07-17'],['2020-08-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1105f5a3d30.html']
['中国人民警察大学（广州）食堂承包经营采购项目公开招标公告'],['2020-07-16'],['2020-08-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f105da958a65.html']
['广东省企业信用风险监管研究项目（第二次）竞争性磋商公告'],['2020-07-16'],['2020-07-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f1025860582d.html']
['广东省质量监督条码检验站能力提升项目（检验报告生成软件）竞争性磋商公告'],['2020-07-16'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f102196b67eb.html']
['中山市古镇高级中学教室护眼灯光改造项目竞争性磋商公告'],['2020-07-16'],['2020-07-27'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f101e7dd66cd.html']
['中山市古镇镇海洲第二小学智慧课堂平台采购项目磋商公告'],['2020-07-16'],['2020-07-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0fc8beb6591.html']
['惠州市中大惠亚医院医疗电子票据管理平台及配套硬件采购项目公开招标公告'],['2020-07-15'],['2020-08-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0eca9fc2903.html']
['中山市中医院DR维修保养服务采购项目公开招标公告'],['2020-07-15'],['2020-08-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0ec8e8bc2be.html']
['中山市坦洲镇社区卫生服务中心购买基本公共卫生服务（老年人、慢病患者体检）采购项目竞争性磋商公告'],['2020-07-15'],['2020-07-27'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0ec8a3b3a75.html']
['广州银行南沙分行午餐供应配送服务采购项目公开招标公告'],['2020-07-15'],['2020-08-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0ec5c62a4d4.html']
['华南理工大学红外原子力显微镜采购项目公开招标公告'],['2020-07-15'],['2020-08-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0ec095477f3.html']
['联和街社区中心房屋租赁单一来源公告'],['2020-07-15'],['2020-07-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0eab472f8de.html']
['联和街房屋租赁服务单一来源公告'],['2020-07-15'],['2020-07-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0ea9c91a6b0.html']
['惠州交投巴士有限公司2020年公交车采购项目招标公告'],['2020-07-15'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0ea36132c25.html']
['中山市中医院移动式C形臂X光机采购项目公开招标公告'],['2020-07-14'],['2020-08-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0d7181c2824.html']
['广东技术师范大学机电学院实验室设备采购项目（包组二第二次重招）公开招标公告'],['2020-07-14'],['2020-08-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0d6ec445d49.html']
['中国人民警察大学（广州）新综合楼服务保障采购项目重启招标公告'],['2020-07-13'],['2020-08-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0c4fced716b.html']
['中山市石岐区第七次全国人口普查项目（第二次）招标公告'],['2020-07-13'],['2020-08-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0c2d754a5f7.html']
['中山市西区社区居家养老和残疾人助洁及照料服务采购项目竞争性磋商公告'],['2020-07-13'],['2020-07-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0c233b3f803.html']
['中山市政务服务数据管理局中山市电子政务外网服务项目招标公告'],['2020-07-13'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0c1df66314d.html']
['原朱砂中队用地范围房屋清拆清理工程（2020年土地出让地块）招标公告'],['2020-07-13'],['2019-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0c164f68210.html']
['信宜市池洞镇卫生院住院综合楼监控设备采购项目招标公告'],['2020-07-13'],['2020-07-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0c14f8de4ba.html']
['广东省交通运输高级技工学校新能源汽车一体化实训室电子化教学设备竞争性磋商公告'],['2020-07-13'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0c0823271e7.html']
['广东新华发行集团股份有限公司电商气泡袋及相关服务采购项目公开招标公告'],['2020-07-13'],['2020-08-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0bee2b65705.html']
['广东技术师范大学河源校区通道闸机及校园卡消费系统采购项目公开招标公告'],['2020-07-10'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f08783ade682.html']
['中山市人民医院康体保健中心工作协助服务外包项目（第二次） 磋商公告'],['2020-07-10'],['2020-07-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f083948220ec.html']
['中山市人民医院五金维修类协议供货商资格采购项目（第二次）的公开招标公告'],['2020-07-10'],['2020-08-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f08264ed4fe7.html']
['窈窕大道绿化升级工程竞争性磋商公告'],['2020-07-10'],['2020-07-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0813272f309.html']
['惠州分行职工饭堂食材配送服务项目公开招标公告'],['2020-07-10'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f080e5def378.html']
['广东省高级技工学校广州校区食堂、超市经营权采购项目竞争性磋商公告'],['2020-07-10'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f07ef8d2f497.html']
['东莞市洪梅镇生态环境专管服务项目竞争性磋商公告'],['2020-07-10'],['2020-07-20'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f07dfd056fae.html']
['广东省阳江监狱监区公共广播系统升级改造项目竞争性磋商公告'],['2020-07-09'],['2020-07-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f06e65e465a5.html']
['广东省文化和旅游厅网络改造项目招标公告'],['2020-07-09'],['2020-07-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f06de6c765a8.html']
['广东信宜农村商业银行股份有限公司绩效考核实施服务采购项目招标公告'],['2020-07-09'],['2020-07-20'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f06de507b8fb.html']
['广东中山高校毕业生农业创业孵化基地基础设施建设工程竞争性磋商公告'],['2020-07-09'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f06dd0de51a0.html']
['广州番禺职业技术学院桶装饮用水供应项目竞争性磋商公告'],['2020-07-09'],['2020-07-20'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f06d813d9d34.html']
['广东省农村信用社联合社新媒体运营项目公开招标公告'],['2020-07-09'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0681f866b4e.html']
['中山市古镇镇海洲第一小学智慧课堂教学平台采购项目（第2次）磋商公告'],['2020-07-08'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0589561b357.html']
['广州市环境监测中心站关于2020年广州市用车大户重点监管企业车用尿素和燃油质量检查工作采购公告  代发'],['2020-07-08'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f053bf77f088.html']
['2020-2021年度纸质中文图书采购项目招标公告'],['2020-07-08'],['2020-07-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f052d100fed7.html']
['广东省浮标在线监测系统维护保养与运营服务公开招标公告'],['2020-07-07'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0446af4c82d.html']
['中山市人民医院电器类供货商协议供货资格采购项目（第二次） 招标公告'],['2020-07-07'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f04419f11c23.html']
['中国人民警察大学（广州）超市、理发店服务采购项目公开招标公告'],['2020-07-07'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0440cd9708c.html']
['中国人民警察大学（广州）校园绿化、保洁及水电工整体外包服务项目招标公告'],['2020-07-07'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f043fa7bc74f.html']
['广东省农村信用社联合社办公电脑采购项目竞争性谈判公告'],['2020-07-07'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f041bc4d677e.html']
['惠州市第三人民医院骨科手术导航定位系统采购项目招标公告'],['2020-07-07'],['2020-07-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f03ea332890f.html']
['2020年火炬开发区老年人健康管理服务项目公开招标公告'],['2020-07-06'],['2020-07-27'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02f219750db.html']
['广东省青少年竞技体育学校医疗设备、营养品及耗材用品采购项目公开招标公告'],['2020-07-06'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02f1f7f3bfa.html']
['中山市文化广电旅游局全域旅游大数据中心服务项目（第二次）竞争性磋商公告'],['2020-07-06'],['2020-07-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02f0166da9f.html']
['广东省农村信用社联合社华建大厦4楼场地改造（二期）项目招标公告'],['2020-07-06'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02ea0571e33.html']
['中山市古镇高级中学节能热水系统建设项目竞争性磋商公告'],['2020-07-06'],['2020-07-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02e8add5ec0.html']
['南朗镇工业区绿化管养服务项目招标公告'],['2020-07-06'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02e595cbd53.html']
['广东省第一荣军医院心肺康复科电动病床等相关设备采购项目招标公告'],['2020-07-06'],['2020-07-27'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02d06f420e0.html']
['广州市环境监测中心站关于2020年广州市用车大户重点监管企业车用尿素和燃油质量检查工作采购公告  代发'],['2020-07-06'],['2020-07-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02c688ae058.html']
['惠州市中大惠亚医院行政楼五楼国际会议厅LED电子屏幕系统采购项目招标公告'],['2020-07-06'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f02958a119d1.html']
['惠州市中大惠亚医院试剂管理系统服务项目招标公告'],['2020-07-06'],['2020-07-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5f0295495aea7.html']
['中山大学附属第三医院肇庆医院重症病房设备采购项目招标公告'],['2020-07-03'],['2020-07-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efef442198c0.html']
['广州市广播电视大学 教育局市电大2020年广州学习型社会建设（远程教育部分）应用及建设工作——数字化学习总中心的技术服务团队及广州终身学习网平台运营竞争性磋商公告'],['2020-07-03'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efeed4d74570.html']
['东莞市樟木头中学初中学业水平考试理化生实验操作考试系统采购项目招标公告'],['2020-07-03'],['2020-07-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efee72260012.html']
['广东省直机关模范机关创建网上展厅项目竞争性磋商公告'],['2020-07-03'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efed61fb0064.html']
['东城路翠英门牌坊周边环境提升工程竞争性磋商采购公告'],['2020-07-03'],['2020-07-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efea427d397c.html']
['北界镇WM70线、WN61线、WN58线、Y254线、C651线、C652线、C653线砂土路改造工程竞争性磋商公告'],['2020-07-03'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efea412776f6.html']
['黎村幼儿园至翠英门段沥青路改造工程竞争性磋商采购公告'],['2020-07-03'],['2020-07-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efea4013b182.html']
['黎村标识设施及环卫设施提升工程竞争性磋商采购公告'],['2020-07-03'],['2020-07-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efea3dde7d94.html']
['信宜产业转移工业园标准厂房及配套宿舍建设工程监理服务项目招标公告'],['2020-07-03'],['2020-07-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efe8b230d53f.html']
['中山市东凤人民医院医疗收费电子票据改造项目竞争性磋商邀请函'],['2020-07-02'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efdb972ea9b2.html']
['广东省高级技工学校计算机网络应用专业群实训设备采购项目招标公告'],['2020-07-02'],['2020-07-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efdab7e89505.html']
['广州市岑村强制隔离戒毒所电子围栏采购项目采购公告'],['2020-07-02'],['2020-07-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efda3ef20219.html']
['三洲新天地两侧小区路工程竞争性磋商公告'],['2020-07-02'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efd918b30702.html']
['信宜市镇隆镇德乔村水环境综合整治项目竞争性磋商公告'],['2020-07-01'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efc6f3ea5490.html']
['信宜市镇隆镇龙登村水环境综合整治项目竞争性磋商公告'],['2020-07-01'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efc6db988261.html']
['2020年秋委和2021年春季教材采购项目公开招标公告'],['2020-07-01'],['2020-07-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efc57da21745.html']
['中国人民警察大学（广州）药品供应资格商采购项目公开招标公告'],['2020-07-01'],['2020-07-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efc3c43366ef.html']
['信宜市乡道Y407线朝阳大桥重建工程竞争性磋商公告'],['2020-07-01'],['2020-07-13'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efbf9882291e.html']
['广州市天河区消防救援大队信息化运维服务竞争性磋商公告'],['2020-06-30'],['2020-07-13'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efb101bc77fb.html']
['华南师范大学大学城校区2020年第一批零星维修材料采购招标公告'],['2020-06-30'],['2020-07-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efb046955b11.html']
['广州市幼儿师范学校食堂外包服务及主副食配送服务供应商采购公开招标公告'],['2020-06-30'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efb00abc4094.html']
['广州市科学技术局 2020-2022年中国海外人才交流大会暨中国留学人员广州科技交流会平台打造服务招标公告'],['2020-06-30'],['2020-07-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efafeaaadce1.html']
['广州民营科技园核心区建设智慧停车系统项目竞争性磋商公告'],['2020-06-30'],['2020-07-13'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efafb1b335e7.html']
['广东雷州农村商业银行股份有限公司员工夏季工作服采购项目公开招标公告'],['2020-06-30'],['2020-07-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efaf85570d24.html']
['广州市水生态建设中心 广州市排水单元达标抽查核查工作竞争性磋商公告'],['2020-06-30'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efae3efe69c0.html']
['中山市坦洲镇社区卫生服务中心购买基本公共卫生服务（老年人、慢病患者体检）采购项目需求征求意见公告'],['2020-06-30'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5efab3b8e0eeb.html']
['东莞市公安局横沥分局补充铁骑单警装备采购项目招标信息公告'],['2020-06-29'],['2020-07-20'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef9b5015de0e.html']
['普宁市益盛染整有限公司除油水洗机及开幅吸水机采购项目招标公告'],['2020-06-29'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef992e083ebe.html']
['汕头市喜达兴实业有限公司冷轧堆染色机采购项目招标公告'],['2020-06-29'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef991bb20f01.html']
['佛山市南海区信友成纺织有限公司剑杆织机采购项目招标公告'],['2020-06-29'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef9915311634.html']
['广州工程技术职业学院2020年基建及维修项目管理服务采购项目（包组二第二次重招）竞争性磋商公告'],['2020-06-28'],['2020-07-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef863089f0ee.html']
['广州民航职业技术学院三个校区新一期物业保安管理服务采购项目公开招标公告'],['2020-06-28'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef85b5366f41.html']
['中山市南朗镇农业和农村工作局左步村池塘周边景观提升工程磋商公告'],['2020-06-28'],['2020-07-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef829b430be0.html']
['广东省生态遥感监测中心（二期）专题服务公开招标公告'],['2020-06-24'],['2020-07-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef32a968d0a1.html']
['“隔山幼儿园”场地招租项目公开招标公告'],['2020-06-24'],['2020-07-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef320c41161e.html']
['广东省生态遥感监测中心（二期）专题服务公开招标公告'],['2020-06-24'],['2020-07-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef31d6814abe.html']
['中山市神湾镇崇正学校信息化设备采购项目公开招标公告'],['2020-06-24'],['2020-07-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef311a7aa849.html']
['东莞市横沥镇房屋建筑印制安装楼牌、单元牌采购项目招标信息公告'],['2020-06-24'],['2020-06-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef2f864040ef.html']
['力学模型设备采购项目竞争性磋商公告'],['2020-06-24'],['2020-07-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef2df5f96fbf.html']
['中山市全域旅游交通标识指示牌制作安装（含维护）服务项目竞争性磋商邀请函'],['2020-06-24'],['2020-07-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef2c633f3fe8.html']
['广东省农村信用社联合社阿里私有云扩容及容灾建设项目之防火墙公开招标公告'],['2020-06-23'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef1d73ed0833.html']
['广东省农村信用社联合社阿里私有云扩容及容灾建设项目之IPS'],['2020-06-23'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef1d5c24da9c.html']
['广东技术师范大学机电学院实验室设备采购项目（包组二重招）公开招标公告'],['2020-06-23'],['2020-07-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef1cdce0ad7b.html']
['华南师范大学大学城校区北区20栋学生宿舍勘察设计招标公告'],['2020-06-23'],['2020-07-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef18c6d6064f.html']
['中山市疾病预防控制中心消防和二次供水系统维保采购项目竞争性磋商采购公告'],['2020-06-23'],['2020-07-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5ef170d903f07.html']
