公告标题,序号,发布日期,跳转链接 
['广州市市场监督管理局2020年市场行为风险监测研究工作服务采购项目'],[招标编号0877-20GZTP01FF561,(2020-09-29),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d8f5f2500cc9']
['广州市荔湾区保安服务公司保安装备采购项目'],[招标编号0877-20GZTP04K573,(2020-09-29),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d8f3d5320cc8']
['中国电器科学研究院股份有限公司广州试验站监检测仪器采购项目招标公告'],[招标编号0877-20GZTP04G552,(2020-09-29),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d8e543160cc6']
['中国电器科学研究院股份有限公司琼海试验站监检测仪器采购项目招标公告'],[招标编号0877-20GZTP04G551,(2020-09-29),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d8e3d5c20cc5']
['深圳信息职业技术学院第一届全国技能大赛光电技术项目竞赛设备设施支持单位遴选公告'],[招标编号,(2020-09-29),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d803bc8b0cc2']
['广州市海珠区人民政府南洲街道办事处居家养老服务项目'],[招标编号0877-20GZTP01FK304,(2020-09-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d407dea70ca9']
['中国电器科学研究院股份有限公司烹饪评价实验室建设项目招标公告'],[招标编号0877-20GZTP04G532,(2020-09-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d3f45d7b0ca8']
['中国电器科学研究院股份有限公司烹饪评价实验室货物采购项目招标公告'],[招标编号0877-20GZTP04G531,(2020-09-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d3f306b50ca7']
['大岗镇2020年度乡村振兴宣传工作项目 '],[招标编号0877-20GZTP01FF447,(2020-09-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d3e3ab640ca6']
['广州市市场监管局2020年机电类特种设备安全宣传及应急演练服务采购项目'],[招标编号0877-20GZTP01FF562 ,(2020-09-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d2794c5f0ca2']
['广东能源集团科学技术研究院有限公司燃煤电厂掺烧污泥二噁英检测分析及低排放控制技术研究项目'],[招标编号0877-20GZTP04G579 ,(2020-09-27),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d24cf2000ca0']
['广东能源集团科学技术研究院有限公司燃煤电厂耦合处置污泥基础实验研究项目公开招标公告'],[招标编号0877-20GZTP04G578,(2020-09-27),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174d24b93d20c9f']
['广州市水上运动管理中心赛艇、皮划艇器材采购招标公告'],[招标编号0877-20GZTP01FX208,(2020-09-27),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174cec4812a0c91']
['广东能源集团科学技术研究院有限公司燃煤耦合污泥发电技术应用研究与工程示范项目公开招标公告'],[招标编号0877-20GZTP04G580 ,(2020-09-27),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174ceab90ad0c90']
['第一届全国技能大赛混凝土建筑竞赛项目设备设施支持单位遴选项目（项目编号：0877-20GZTP05H599）遴选公告'],[招标编号0877-20GZTP05H599,(2020-09-27),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174ce9001f40c8c']
['中华人民共和国第一届职业技能大赛管道与制暖竞赛项目设备设施支持单位遴项目（项目编号：0877-20GZTP05R596）遴选公告'],[招标编号0877-20GZTP05R596,(2020-09-25),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174c480805a0c71']
['广东能源集团科学技术研究院有限公司高氯粉煤灰低碱性胶凝材料与混凝土材料应用研究与工程示范项目公开招标公告'],[招标编号0877-20GZTP04G577,(2020-09-25),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174c3f823070c6f']
['广州市市场监督管理局机关资产标识粘贴服务采购项目'],[招标编号0877-20GZTP01FF563 ,(2020-09-25),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174c3f138900c6e']
['康王路下穿流花湖隧道工程项目征收安置工作公开招标公告'],[招标编号0877-20GZTP01X583,(2020-09-25),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174c3ec14c50c6d']
['阳江市市委饭堂油烟处理系统改造及设备采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FN582,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174bf7b9be80c63']
['广州市轻工技师学院筹备第一届全国职业技能大赛家具制作项目比赛所需设施设备支持（项目编号：0877-20GZTP05H591）遴选公告'],[招标编号0877-20GZTP05H591,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174bf6967070c62']
['广州市轻工技师学院筹备第一届全国职业技能大赛精细木工项目比赛所需设施设备支持（项目编号：0877-20GZTP05H590）遴选公告'],[招标编号0877-20GZTP05H590,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174bf68b1b00c61']
['广州市轻工技师学院筹备第一届全国职业技能大赛木工（国赛精选）项目所需设备设施支持（项目编号：0877-20GZTP05H589）遴选公告'],[招标编号0877-20GZTP05H589,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174bf6807110c60']
['广州市轻工技师学院筹备第一届全国职业技能大赛木工项目比赛所需设施设备支持（项目编号：0877-20GZTP05H588）遴选公告'],[招标编号0877-20GZTP05H588,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174bf620e470c5f']
['广州卫生职业技术学院白云、越秀校区消防系统维护保养服务项目招标公告'],[招标编号0877-20GZTP01FH530,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174bf23243d0c5c']
['广东省四会监狱PCR实验室设备项目'],[招标编号0877-20GZTP05F586,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174bef3aec30c59']
['广东广播电视台二期五楼演播室大屏幕改造项目（重招）招标公告'],[招标编号DXZ202008G001-C,(2020-09-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174be3089d50c56']
['广州体育学院校园视频监控系统采购项目招标公告'],[招标编号0877-20GZTP01L511,(2020-09-23),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174b9d899110c47']
['越秀区基本公共服务标准体系建设及运行服务项目（重招）公开招标公告'],[招标编号0877-20GZTP01H515-1,(2020-09-23),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174b90abb890c44']
['广东能源集团科学技术研究院有限公司1MWh高效储能系统研发项目公开招标公告'],[招标编号0877-20GZTP04G508,(2020-09-23),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174b9037b1e0c43']
['广州市执信中学教工食堂燃气管道安装及炉具整改服务招标公告'],[招标编号0877-20GZTP01FH564,(2020-09-22),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174b4fedc3a0c36']
['广东烟草汕尾市有限公司车辆保险定点服务商采购项目'],[招标编号0877-20GZTP04F553,(2020-09-22),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174b4b3c71d0c33']
['第一届全国技能大赛飞机维修项目设备设施支持单位遴选项目（项目编号：0877-20GZTP05H568）遴选公告'],[招标编号0877-20GZTP05H568,(2020-09-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174afc778f60c21']
['第一届全国技能大赛轨道车辆技术项目设备设施支持单位遴选项目（项目编号：0877-20GZTP05H569）遴选公告'],[招标编号0877-20GZTP05H569,(2020-09-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174afc577260c20']
['第一届全国技能大赛汽车喷漆项目设备设施支持单位遴选项目（项目编号：0877-20GZTP05H570）遴选公告'],[招标编号0877-20GZTP05H570,(2020-09-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174afc42ecb0c1f']
['第一届全国技能大赛重型车辆维修项目设备设施支持单位遴选项目（项目编号：0877-20GZTP05H571）遴选公告'],[招标编号0877-20GZTP05H571,(2020-09-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174afc295fa0c1e']
['广东生态工程职业学院数控车床、数控铣床设备采购招标公告'],[招标编号0877-20GZTP01FH539,(2020-09-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174af800f290c19']
['广州电子口岸跨境电子商务公共服务平台2020-2021年度维护项目招标公告'],[招标编号0877-20GZTP04G452,(2020-09-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174aefae9550c18']
['广州市执信中学低压变电房维修及配套服务招标公告'],[招标编号0877-20GZTP01FH536,(2020-09-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174b4ab4e200c32']
['广东生态工程职业学院后山实训基地周边基础配套设施项目竞争性磋商公告'],[招标编号0877-20GZTP04H557,(2020-09-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174a049a3650bf5']
['广东生态工程职业学院艺术实训中心三期改造工程项目竞争性磋商公告'],[招标编号0877-20GZTP04H556,(2020-09-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174a047e0750bf4']
['阳江市公安局手机数据采集设备采购项目竞争性谈判'],[招标编号0877-20GZTP01N534,(2020-09-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174a03507980bf3']
['2020年广州市医疗保险服务中心经办业务信息化运维项目监理服务竞争性磋商公告'],[招标编号0877-20GZTP01FH525,(2020-09-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01749f8b93af0bf1']
['阳江海上风电实验室科研仪器仪表设备采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FN554,(2020-09-17),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01749ac74c220be0']
['广东省职业技能服务指导中心证书制作服务招标公告'],[招标编号0877-20GZTP01FH473,(2020-09-17),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01749abdb1290bdf']
['广东省四会监狱“十二五”项目肇庆片区域中心医院建设（CT机及配套、DR室配套设备及迁移安装）采购项目'],[招标编号0877-20GZTP01F431,(2020-09-17),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01749ab696c80bde']
['广州图书馆2020年员工体检项目（重招） 竞争性磋商公告'],[招标编号0877-20GZTP01FG522-1,(2020-09-17),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01749a78acd50bdd']
[' 广东省野生动物救护中心新建动物临时笼舍等项目'],[招标编号0877-20GZTP01F548,(2020-09-17),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017499de84df0bdb']
['广州市黄埔区妇幼保健院LED高清全彩大屏采购项目 '],[招标编号0877-20GZTP01FK518,(2020-09-16),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017496acb8430bcc']
[' 广东省突发地质灾害应急抢险数据管理平台二期开发项目'],[招标编号0877-20GZTP01F528,(2020-09-16),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174966443320bca']
['广州图书馆全馆深度消毒项目竞争性磋商公告'],[招标编号0877-20GZTP01FG559,(2020-09-16),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01749604cb4f0bc8']
['湛江电力有限公司煤场四周加装挡风抑尘墙公开招标公告'],[招标编号0877-20GZTP04G558,(2020-09-16),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017495f831db0bc5']
['广州市白云区京溪街道办事处居家养老综合服务平台购买项目'],[招标编号0877-20GZTP01K475 ,(2020-09-16),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017495cf4c0d0bc4']
['广州市海珠区民政局居家养老综合服务平台项目'],[招标编号0877-20GZTP01K350 ,(2020-09-16),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017495c1d7e00bc3']
['2020年广州市创新创业（孵化）示范基地复审工作第三方评审机构采购项目招标公告'],[招标编号0877-20GZTP01FH379,(2020-09-15),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017490ca12720baf']
['从化区江埔街海塱村开放式社区综合管理系统建设项目竞争性磋商公告'],[招标编号0877-20GZTP01H526 ,(2020-09-15),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01749093efd00bad']
['广州市土地房产管理职业学校2019年度智慧校园建设项目第三方验收测评服务招标公告'],[招标编号0877-20GZTP01FX529,(2020-09-15),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174908249b00bac']
['湛江电力有限公司#1机1号高压加热器设备采购公开招标公告'],[招标编号0877-20GZTP04G550 ,(2020-09-15),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01748f6fe5750ba4']
['湛江电力有限公司#1、2炉送风机电机高效节能改造设备采购（第二次）公开招标公告'],[招标编号0877-20GZTP04G250-1,(2020-09-15),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01748f6f2c940ba3']
['广东省二沙体育训练中心2020年度水处理、水泵及热泵维护保养采购项目'],[招标编号0877-20GZTP01FF492,(2020-09-14),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01748be845e00b99']
['阳江海上风电实验室灌浆试验设备采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FN546,(2020-09-11),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01747cb412e00b6a']
['广东省二沙体育训练中心训练场馆直饮水系统安装采购项目 '],[招标编号0877-20GZTP01FF493,(2020-09-11),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01747be339cd0b61']
['广州市荔湾区政务服务数据管理局荔湾区2020-2022年政务微信采编服务项目（重招）竞争性磋商'],[招标编号0877-20GZTP01FH483-1,(2020-09-11),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01747bddb9380b60']
['广东省二沙体育训练中心购买击剑训练比赛器材（进口）采购项目'],[招标编号0877-20GZTP01F405,(2020-09-10),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017476db60bc0b4d']
['阳春市中医院数字化医院信息系统建设项目公开招标公告'],[招标编号0877-20GZTP01N523,(2020-09-08),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01746d6475ed0b33']
['广东烟草汕尾市有限公司市局本部（含物流配送中心）车辆定点维修服务供应商采购项目招标公告'],[招标编号0877-20GZTP04F527,(2020-09-08),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01746cee06060b2d']
['广州卫生职业技术学院天河校区实验室物资购置项目招标公告'],[招标编号0877-20GZTP01FH500,(2020-09-08),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01746c95fedf0b2b']
['中国人民银行广州分行疗养院保洁服务项目'],[招标编号0877-20GZTP04K461,(2020-09-07),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174675935700b0b']
['广东省二沙体育训练中心跳水板采购项目'],[招标编号0877-20GZTP01F389,(2020-09-04),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174583d13210acf']
['2020-2021年度黄埔区重点关爱青少年群体行动项目招标公告'],[招标编号0877-20GZTP01FL521,(2020-09-04),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174582ef5f10ace']
['广东广播电视台二期五楼演播室大屏幕改造项目招标公告'],[招标编号DXZ202008G001,(2020-09-04),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017457b8c4060aca']
['2020年石门街居家养老综合服务中心采购项目招标公告'],[招标编号0877-20GZTP01L372,(2020-09-04),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174578004630ac9']
['广州图书馆2020年员工体检项目竞争性磋商公告'],[招标编号0877-20GZTP01FG522 ,(2020-09-02),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01744ea6b68a0aa1']
['阳江市人民医院医疗设备采购项目（20-10）公开招标公告'],[招标编号0877-20GZTP01N517,(2020-09-02),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01744d98a5f90a9a']
['陆河县河田镇共联村委泥石流地质灾害治理工程勘查设计询比采购公告'],[招标编号0877-20GZTP01FG459,(2020-09-01),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01744899e0550a84']
['广东省文化和旅游厅中央电视台广东文化旅游形象广告投放服务采购项目'],[招标编号0877-20GZTP01G513 ,(2020-09-01),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017447c855e60a7d']
['阳江市科技馆基础科学展厅展览内容设计、制作及相关服务公开招标公告'],[招标编号0877-20GZTP01N509,(2020-09-01),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017447ac8fb50a7b']
['汕尾烟草室外吸烟点建设项目'],[招标编号0877-20GZTP04F482,(2020-08-31),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017443d0059d0a75']
['广东省自然保护地有效管理评价系统建设项目 '],[招标编号0877-20GZTP01FF494,(2020-08-31),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017443397f100a73']
['越秀区基本公共服务标准体系建设及运行服务项目公开招标公告'],[招标编号0877-20GZTP01H515,(2020-08-31),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017442d713200a71']
['2020年广州人才大数据之应用基础平台与数据归集汇聚建设项目（GZIT2020-B3-644）咨询服务'],[招标编号0877-20GZTP01FH460,(2020-08-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01743416dba60a39']
['广州市白云区新市街道办居家养老服务平台项目'],[招标编号0877-20GZTP01FK502 ,(2020-08-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017433c73e710a32']
['广州市黄埔区妇幼保健院医疗设备采购项目 '],[招标编号0877-20GZTP01FK371,(2020-08-28),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017433b4e7a70a31']
['岭南街党群服务中心场地（杉木栏路101号102、202房）购置项目'],[招标编号0877-20GZTP01L279,(2020-08-27),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01742ef9e2cd0a1d']
['广东省四会监狱专门场所智能化建设项目'],[招标编号0877-20GZTP01F484,(2020-08-26),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017429e7b7390a0d']
['广州市市场监督管理局2020年度在用电梯监督检验抽查服务采购项目（第二次重招）单一来源采购公告'],[招标编号0877-20GZTP01F037-2,(2020-08-26),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017429b9336d0a0a']
['广州市越秀区文化广电旅游体育局服务采购项目'],[招标编号0877-20GZTP01F387,(2020-08-26),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017429a4c7710a09']
['广东省第二人民医院电子超声内窥镜、电子动态喉镜及喉功能分析系统采购项目'],[招标编号0877-20GZTP04F507,(2020-08-26),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017428739f750a05']
['广州市荔湾区政务服务数据管理局荔湾区2020-2022年政务微信采编服务项目'],[招标编号0877-20GZTP01FH483,(2020-08-25),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017424bd118409f9']
['广州市标准化研究院产品标签辅助检验技术服务招标公告'],[招标编号0877-20GZTP01FH390,(2020-08-25),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174248a17d509f6']
['白云区体育惠民措施统筹编制暨实施服务项目 '],[招标编号0877-20GZTP01FK486,(2020-08-25),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01742385ee6909f2']
['黄埔区数字化智慧医院建设（一期）项目配套政务云硬件资源租赁服务项目 '],[招标编号0877-20GZTP05K383,(2020-08-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01741f21978509e9']
['广东省女子监狱旧医院改造金属电动门项目（重招）竞争性磋商公告'],[招标编号0877-20GZTP01FL450-1,(2020-08-24),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01741e609e0c09e3']
['广东能源商务网重建项目云资源采购项目公开招标公告'],[招标编号0877-20GZTP04G498,(2020-08-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174101e4b6509c3']
['2020年汕尾烟草信息安全测评加固等服务项目'],[招标编号0877-20GZTP04F477,(2020-08-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174101693db09c2']
['广州市越秀区文化广电旅游体育局新建体育设施采购项目'],[招标编号0877-20GZTP01F388,(2020-08-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740ffb3b0409c0']
['广东省第二人民医院3号楼电梯改造项目（重招）'],[招标编号0877-20GZTP04F417-1,(2020-08-21),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740ef0318809bd']
['阳江合金材料实验室2020年第一批科研用软件采购项目单一来源采购公告'],[招标编号0877-20GZTP01FN495,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740b4cfe6509b5']
['试验设备-气相色谱质谱联用仪招标公告'],[招标编号0877-20GZTP04G506,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740b03c91309b4']
['广州市白云区文化广电旅游体育局组织全民健身活动及其他体育业务工作项目'],[招标编号0877-20GZTP01K487,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740ae335e309b3']
['广州市机电高级技工学校2020年高水平技师学院建设项目——第46届世界技能大赛全国选拔赛备赛参赛耗材和工具采购项目'],[招标编号0877-20GZTP01H363,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740ab9935309b0']
['广州市轻工高级技工学校北校区学生宿舍及生活配套场地租赁采购项目单一来源采购公告'],[招标编号0877-20GZTP01H444,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740a946bb309af']
['《广州大典·第一次国共合作广东文献汇编》征集出版及配送服务采购项目公开招标公告'],[招标编号0877-20GZTP01L416,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740a8b3b5309ad']
['广州市荔湾区人民政府东漖街道办事处居家养老综合服务平台采购项目'],[招标编号0877-20GZTP01K426,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740a89815309ac']
['广东省有色金属地质局驻穗单位食堂装修工程项目 '],[招标编号0877-20GZTP04K468,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01740a04762609aa']
['广州市市场监督管理局2020年度机电类特种设备产品质量监督抽查项目（重招）'],[招标编号0877-20GZTP01FF343-1,(2020-08-20),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174097b4d6e09a7']
['2020年阳江高新区福冈工业园水产、食品加工等八家污染源监督性监测服务采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FN501,(2020-08-19),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174061abe8d09a2']
['广州市市场监督管理局国产非特殊用途化妆品备案信息审核服务项目'],[招标编号0877-20GZTP01F224,(2020-08-19),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017404de7a210990']
['阳江市人民医院持续数据保护服务项目公开招标公告'],[招标编号0877-20GZTP01N485,(2020-08-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a017400ffd3930987']
['湛江电力有限公司重点作业面安全管控系统开发实施公开招标公告'],[招标编号0877-20GZTP04G503,(2020-08-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174008d42fb0984']
['湛江电力有限公司2号、4号机组胶球清洗系统采购和改造工程（第二次）公开招标公告'],[招标编号0877-20GZTP04G412-1,(2020-08-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0174008c8e9b0983']
['广州市海珠区人民政府官洲街道办事处社区居家养老综合服务平台项目 '],[招标编号0877-20GZTP01FF478,(2020-08-18),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173ff32f557097e']
['2020年高水平技师学院建设之智慧旅游电商创业培训基地配套课程资源建设项目招标公告'],[招标编号0877-20GZTP01FH470,(2020-08-17),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173fb1f3ab20972']
['广州市轻工高级技工学校校医服务采购项目招标公告'],[招标编号0877-20GZTP01FH496,(2020-08-17),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173fb0dbd19096e']
['广州市黄埔区怡园小学校园环境建设及功能室升级改造工程设计服务招标公告'],[招标编号0877-20GZTP01FJ462,(2020-08-14),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173ec60087c093a']
['广州市黄埔区人民政府大沙街道办事处居家养老综合服务平台项目'],[招标编号0877-20GZTP01F024,(2020-08-14),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173ebea5aa90935']
['广东烟草汕尾市有限公司烟草涉案物资运输服务建库项目（重招）'],[招标编号0877-20GZTP04F392-1,(2020-08-13),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173e6f48cdd0921']
['湛江电力有限公司燃料系统原煤仓料位计改造物资采购公开招标公告'],[招标编号ZJPT016997,(2020-08-13),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173e689c27d091d']
['2020年沙面街道办事处社区居家养老服务项目招标公告'],[招标编号0877-20GZTP01FL445,(2020-08-13),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173e58a7f6b0914']
['白云区救灾物资采购项目'],[招标编号0877-20GZTP04F442,(2020-08-13),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173e578bbad0913']
['湛江电力有限公司#1、2炉送风机电机高效节能改造设备采购公开招标公告'],[招标编号0877-20GZTP04G250,(2020-08-12),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173e0bd94c90900']
['广东省第二人民医院医学科研仪器招标项目'],[招标编号0877-20GZTP04F469,(2020-08-12),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173e05c129908fd']
['阳江合金材料实验室2020年第一批科研用软件采购项目单一来源采购公示'],[招标编号0877-20GZTP01FN495,(2020-08-11),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173dd08c7d608ee']
['广东省女子监狱旧医院改造金属电动门项目竞争性磋商公告'],[招标编号0877-20GZTP01FL450,(2020-08-11),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173dc9e6eac08e8']
['阳江市阳东区“十三五”工业源主要大气污染物减排研究报告编制项目竞争性磋商公告'],[招标编号0877-20GZTP01FN424,(2020-08-11),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173db8b058f08df']
['湛江电力有限公司二期机组UPS装置安全整改招标公开招标公告'],[招标编号0877-20GZTP04G491 ,(2020-08-10),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173d743201b08d0']
['广东省第二人民医院1号楼至3号楼低压供电线路改造项目'],[招标编号0877-20GZTP04F446,(2020-08-10),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173d70a9cd908cf']
['广州市交通高级技工学校绩效考核体系建设咨询采购项目招标公告'],[招标编号0877-20GZTP01FH455,(2020-08-07),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c83a61ca08a0']
['广州市交通高级技工学校人事档案整理、专项审核与数字化采购招标公告'],[招标编号0877-20GZTP01FH454,(2020-08-07),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c8392fbc089f']
['新雅小学（和雅校区）办公家具采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FJ489,(2020-08-07),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c834827e089e']
['新雅小学（和雅校区）部门家具采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FJ488,(2020-08-07),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c8331cad089d']
['广州市幼儿师范学校图书馆四层改数码钢琴教室课室改造工程竞争性磋商公告'],[招标编号0877-20GZTP01FH476,(2020-08-07),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c788a857089b']
['广东省四会监狱区域中心医院CT机采购项目市场调研公告'],[招标编号/,(2020-08-06),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c308e8a2088d']
['自然保护地生态价值评价研究项目'],[招标编号0877-20GZTP01F463,(2020-08-06),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c3004f63088c']
['广州港引航站采购2020年度制服与装具采购项目公开招标公告'],[招标编号0877-20GZTP01FJ433 ,(2020-08-06),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c2a3483d0886']
['阳江市人民医院医疗设备采购项目（20-9）公开招标公告'],[招标编号0877-20GZTP01N480,(2020-08-06),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0173c1b872ac0881']
