标号,招标项目,时间,跳转链接 
['QSFG201900319、OSJY-ZB-20190920'],['揭阳市绿源垃圾综合处理与资源利用厂飞灰固化物运输及处理服务资格项目（第二次）公开招标公告'],['[2019-10-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17775']
['440224-201910-F82016924001-0052'],['仁化县董塘镇繁塘路路交口信号灯管控及电子警察抓拍系统采购项目竞争性磋商公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17773']
['GZQS1901HX10030SH'],['广东省北江监狱指挥中心特警装备采购项目询价公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17772']
['GZQS1901HG09018Z'],['肇庆市农业学校电子商务智慧仓储实训室项目公开招标公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17771']
['GZQS1901HG10003M'],['梅州农村商业银行股份有限公司中心机房主机更换升级项目公开招标公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17770']
['GZQS1901HG10040Z'],['广东肇庆星湖生物科技股份有限公司磷酸盐破碎、输送及冷却系统设备采购项目公开招标公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17769']
['QSHG201900322'],['广州市公安局番禺区分局羁押医院在押人员药品、医用耗材及检验影像试剂采购项目公开招标公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17767']
['GZQS1901FG09049M'],['广东中烟工业有限责任公司梅州卷烟厂烟机清洁剂采购项目（2020年1月-2022年9月）(招标编号：GZQS1901FG09049M)公开招标公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17765']
['GZQS1901FG10009M'],['广东中烟工业有限责任公司梅州卷烟厂电梯专业维保服务项目（2020年1月-2022年9月）(招标编号：GZQS1901FG10009M)公开招标公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17761']
['GZQS1901HX10042Z'],['肇庆市第四中学LED彩屏采购项目采购公告'],['[2019-10-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17822']
['QSFG201900153'],['广州力智养殖场停养后水污染防治应急服务项目公开招标公告'],['[2019-10-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17758']
['GZQS1901FC10022SH'],['韶关市综合交通运输“十四五”发展规划服务采购项目竞争性磋商公告'],['[2019-10-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17756']
['QSFG201900248'],['广州白云机场综合保税区中区及周边地区控制性详细规划调整项目公开招标公告'],['[2019-10-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17751']
['QSFG201900213'],['黄埔海关机房基础环境综合监控巡检服务项目公开招标公告'],['[2019-10-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17750']
['QSFG201900279'],['黄埔海关报关单权重布控模型优化完善开发服务项目公开招标公告'],['[2019-10-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17749']
['GZQS1901HG10034Z'],['广东肇庆星湖生物科技股份有限公司电加热导热油成套设备采购项目公开招标公告'],['[2019-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17746']
['QSFC201900255'],['黄埔海关开发“互联网+海关”关区特色政务服务（黄埔）升级完善项目 竞争性磋商采购公告'],['[2019-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17745']
['GZQS1901HX09055Z'],['德庆县发展和改革局森林消防应急物资采购项目 询价采购公告'],['[2019-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17744']
['QSHC201900277'],['实验动物饲养垫料采购项目（第二次）竞争性磋商采购公告'],['[2019-10-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17742']
['QSHG201900295'],['珠岛宾馆鲜货、干货和烟酒供应商资格采购项目公开公告'],['[2019-10-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17736']
['GZQS1901HG08053W'],['广州市增城区农业局科普展示馆设备采购项目公开招标公告'],['[2019-10-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17735']
['GZQS1901FC10026W'],['“羊城之夏”2019广州市民文化节——广州市第四届广场舞大赛服务项目竞争性磋商采购公告'],['[2019-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17731']
['QSHG201900278'],['广州市白云区钟落潭镇（8村4社）视频监控项目（第二次）公开招标公告'],['[2019-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17730']
['QSFD201900296'],['2019-2020年开发区综改协议采购专业服务项目单一来源采购公告'],['[2019-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17723']
['QSFG201900129'],['黄埔区智能交通管理系统（2019-2020年）建设项目设计服务公开招标公告'],['[2019-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17722']
['QSHG201900304'],['广州市公安局番禺区分局毒品检测试剂和AB瓶采购项目公开招标公告'],['[2019-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17721']
['QSHC201900273'],['天河出入境边防检查站弱电设备采购项目竞争性磋商采购公告'],['[2019-10-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17720']
['GZQS1901HG10007Z'],['广东烟草肇庆市有限责任公司物流配送中心通风除尘设备采购项目 公开招标公告'],['[2019-10-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17719']
['GZQS1901FC10013Z'],['肇庆市动物卫生监督所动物卫生风险管理系统建设项目竞争性磋商公告'],['[2019-10-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17718']
['GZQS1901FC09054SH'],['韶关市道路运输行业安全生产风险点危险源排查管控项目竞争性磋商公告'],['[2019-10-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17717']
['GZQS1901HG10020Z'],['德庆县三叉顶林场林下仿野生灵芝种植项目菌棒采购 公开招标公告'],['[2019-10-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17715']
['GZQS1901FC10010Z'],['2019年高要区农贸市场快检服务项目竞争性磋商公告'],['[2019-10-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17714']
['GZQS1901FC10025SH'],['2019年-2020年韶关市初中学业水平考试音乐美术信息技术科目考试服务项目竞争性磋商公告'],['[2019-10-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17713']
['GZQS1901FG09052M'],['广东中烟工业有限责任公司梅州卷烟厂空气压缩机专业维保服务项目（2020年1月-2022年9月）(招标编号：GZQS1901FG09052M)公开招标公告'],['[2019-10-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17711']
['GZQS1901FC10004Z'],['林下仿野生灵芝种植项目竞争性磋商公告'],['[2019-10-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17710']
['GZQS1901HG10011M'],['梅州农村商业银行股份有限公司中心机房网络设备监控系统升级改造项目公开招标公告'],['[2019-10-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17712']
['QSFG201900217'],['广州市公安局黄埔区分局涉毒等重点人员网上行为分析公开招标公告'],['[2019-10-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17706']
[''],['旧村改造专项法律服务最高采购限价征集函'],['[2019-10-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17705']
['QSFC201900318'],['广州市轨道交通十一号线广园新村站（中医药大学）土地拆除及清表工程竞争性磋商采购公告'],['[2019-10-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17704']
['GZQS1901HG10012M'],['梅州农村商业银行股份有限公司中心机房网络设备更换升级项目公开招标公告'],['[2019-10-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17697']
['GZQS1901HG10021Z'],['肇庆市高要区农业农村局农机装备采购项目公开招标公告'],['[2019-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17698']
['GZQS1901HG10033M'],['广东丰顺农村商业银行股份有限公司购置2019年非货币性福利项目公开招标公告'],['[2019-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17881']
['QSFG201900007'],['增城火车站周边地区控规修编范围土地整备与用地开发策略专项研究项目公开招标公告'],['[2019-10-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17695']
['GZQS1901FC10005Z'],['肇庆市2019年政府网站和政务新媒体第三方评测服务 竞争性磋商公告'],['[2019-10-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17694']
['GZQS1901HC10019SH'],['韶关学院经济管理学院实训平台软件采购项目竞争性磋商公告'],['[2019-10-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17692']
['GZQS1901FC10017Z'],['德庆县国有土地资源资产核算试点工作 竞争性磋商公告'],['[2019-10-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17691']
['440224-201910-F82016924001-0052'],['仁化县董塘镇繁塘路路交口信号灯管控及电子警察抓拍系统采购项目竞争性磋商公告'],['[2019-10-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17687']
['GZQS1901HG10006Z'],['广东肇庆星湖生物科技股份有限公司锅炉化学水处理系统设备采购项目公开招标公告'],['[2019-10-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17684']
['GZQS1901FC09053W'],['增城区宁西街居家养老平台项目竞争性磋商采购公告'],['[2019-10-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17683']
['QSFG201900302'],['广州市公安局海珠区分局饭堂厨工外包服务公开招标公告'],['[2019-10-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17682']
['QSFC201900243'],['黄埔海关有害因子监测设备年度维保服务项目竞争性磋商采购公告'],['[2019-10-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17679']
[''],['通信线路整治及综合管网新建工程 施工招标 招标公告'],['[2019-10-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17676']
[''],['环形消防公路整治工程 施工招标 招标公告'],['[2019-10-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17675']
['QSHG201900288'],['广州市公安局黄埔区分局融合通信系统采购项目公开招标公告'],['[2019-10-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17674']
['GZQS1901HC09039S'],['佛山市三水区永安服务有限公司机动车驾驶员科目二、科目三考试适应性训练设备系统采购项目（重招）采购公告'],['[2019-10-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17672']
['GZQS1801GG10006F'],['中国邮政集团公司广东省培训中心运动场整修工程施工项目采购公告'],['[2019-10-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17668']
['GZQS1901FC09057SH'],['翁源县坝仔镇半溪村党建布展服务采购项目竞争性磋商公告'],['[2019-10-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17667']
['QSFG201900226'],['广州市公安局海珠分局吸毒人员成瘾认定服务项目竞争性谈判采购公告'],['[2019-10-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17660']
['QSHG201900320'],['广州市黄埔区天誉小学2019年度弱电系统建设项目公开招标公告'],['[2019-10-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17657']
['GZQS1901HG10015SH'],['韶关市强制隔离戒毒所饭堂物资采购服务项目公开招标公告'],['[2019-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17656']
['GZQS1901HG10008Z'],['广东肇庆星湖生物科技股份有限公司通用桥式起重机设备采购项目公开招标公告'],['[2019-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17655']
['GZQS1901HG09059Z'],['广东肇庆星湖生物科技股份有限公司不锈钢搅拌罐等非标设备采购项目公开招标公告'],['[2019-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17654']
['GZQS1901FG10002Z'],['2019年肇庆市高要区教师培训项目 公开招标公告'],['[2019-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17653']
['QSHC201900313'],['夏港街机关食堂肉菜及副食品配送服务竞争性磋商采购公告'],['[2019-10-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17652']
['GZQS1901FC09015SH'],['韶关市张九龄纪念中学2019年体检服务采购项目竞争性磋商公告'],['[2019-10-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17648']
['QSHG201900219'],['广州市公安局黄埔区分局涉毒人员图码库采购项目公开招标公告'],['[2019-10-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17645']
['GZQS1901HC09060Z'],['广东省济广企业总公司制鞋流水线（含安装）采购项目 竞争性磋商公告'],['[2019-10-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17693']
['QSFC201900294'],['中共广东省委党校（广东行政学院）公共机构能源审计服务采购项目竞争性磋商采购公告'],['[2019-10-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17644']
['QSFC201900317'],['中共广东省委党校（广东行政学院）图书馆“广东原中央苏区历史文献数据库”和“广东自贸区制度创新专题数据库”建设项目竞争性磋商采购公告'],['[2019-10-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17643']
['GZQS1901GC09046Z'],['省道265线K126+615~K126+920段水毁修复工程项目 竞争性磋商公告'],['[2019-10-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17641']
['GZQS1901GC09050Z'],['国道321线九市服务区新建工程项目 竞争性磋商公告'],['[2019-10-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17640']
['GZQS1901GC09045Z'],['国道321线K142+785~K142+970段水毁修复工程项目 竞争性磋商公告'],['[2019-10-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17639']
['GZQS1901HC09056HZ'],['化州市2019年度“一村一品、一镇一业”项目--中垌镇运鸿蔬菜合作社冷库建设配套设备采购 竞争性磋商公告'],['[2019-10-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17636']
['QSHC201900277'],['实验动物饲养垫料采购项目竞争性磋商采购公告'],['[2019-10-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17630']
['QSFG201900319'],['揭阳市绿源垃圾综合处理与资源利用厂飞灰固化物运输处理服务资格项目公开招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17627']
['WJ-2019-1955-A011'],['中国人民武装警察部队韶关支队特战中队作战勤务值班室升级改造项目 招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17626']
['ZC2019(SS)ZX03634'],['中心大楼病房和急诊设备采购（彩色B超诊断仪）招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17625']
['WJ-2019-1955-A010'],['中国人民武装警察部队韶关支队营产营具采购项目 招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17624']
['GZQS1901GG08038SH'],['始兴县盛丰生态农业科技有限公司有机蔬菜工厂化育苗基地 建设项目招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17623']
['WJ-2019-1955-A009'],['中国人民武装警察部队韶关支队二楼军官培训中心升降电脑、 全彩LED显示系统项目招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17621']
['QSFG201900292'],['广州第四、五、六、七资源热力电厂二期工程及配套设施和福山循环经济产业园生活垃圾应急综合处理项目施工信息化管理平台 集成服务项目公开招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17618']
['GZQS1901HG09058M'],['梅州市城市照明养护中心15米高空作业车采购项目公开招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17615']
['QSFG201900218'],['涉毒人员数据治理服务公开招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17611']
['QSFG201900300'],['国家知识产权局专利局专利审查协作广东中心2019年员工体检项目公开招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17610']
['QSHG201900270'],['广州市公安局荔湾区分局2019年对讲机采购项目公开招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17609']
['QSFG201900312'],['海珠展示厅信息化提档升级项目公开招标公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17608']
['GZQS1901FG09036W'],['增城市新塘工业加工区开发总公司餐饮及日常保洁服务项目公开招标公告'],['[2019-09-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17603']
['QSHG201900245'],['广州市公安局黄埔区分局涉案视频图像智能化应用系统项目公开招标公告'],['[2019-09-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17599']
['QSHG201900276'],['警用装备公开招标公告'],['[2019-09-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17598']
['QSFG201900253'],['广州市黄埔区城市管理和综合执法局城市环境精细化管理检查评价服务工作项目公开招标公告'],['[2019-09-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17597']
['GZQS1901HC09037SH'],['韶赣高速公路超限检测站物资采购项目竞争性磋商公告'],['[2019-09-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17594']
['GZQS1901FG09024M'],['广东中烟工业有限责任公司梅州卷烟厂科研中心及综合楼屋面维修项目(招标编号： GZQS1901FG09024M)公开招标公告'],['[2019-09-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17593']
['QSFC201900212'],['数据与中间层应用分析维护服务竞争性磋商采购公告'],['[2019-09-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17591']
['GZQS1901FC08050Z'],['德庆县孔子学校建设广东省信息化中心学校项目 竞争性磋商公告'],['[2019-09-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17588']
['QSFG201900147'],['黄埔区城中村（社区）智能视频系统建设项目设计服务公开招标公告'],['[2019-09-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17585']
['GZQS1901FG09001W'],['广州市规划和自然资源局增城区分局历史积压档案整理及数字化、成品质检项目（二期）公开招标公告'],['[2019-09-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17582']
['GZQS1901HG09043Z'],['肇庆市高要区中医院体检车采购项目 公开招标公告'],['[2019-09-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17579']
['QSFG201900291'],['育廉馆2019年11月至2022年11月运营服务项目公开招标公告'],['[2019-09-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17576']
['GZQS1901FC09011F'],['佛山市生态环境局无人机飞行巡查项目采购公告'],['[2019-09-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17574']
['GZQS1901HG09044M'],['广东蕉岭农村商业银行股份有限公司存折打印机采购项目公开招标公告'],['[2019-09-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17707']
['GZQS1901HC09039S'],['佛山市三水区永安服务有限公司机动车驾驶员科目二、科目三考试适应性训练设备系统采购项目采购公告'],['[2019-09-30]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17613']
['GZQS1901GG08026M'],['广东兴宁农村商业银行股份有限公司各乡镇分社消防安装工程增加防火门（窗）、消防楼梯项目(项目编号：GZQS1901GG08026M)公开招标公告'],['[2019-09-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17632']
['GZQS1901GG09031M'],['广东兴宁农村商业银行股份有限公司锦华分理处网点装修工程项目公开招标公告'],['[2019-09-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17725']
['GZQS1901FC09030F'],['佛山市公安局南海分局全区重要信息系统和重点网站安全监察技术服务项目采购公告'],['[2019-09-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17561']
['GZQS1901HG09028Z'],['广东肇庆星湖生物科技股份有限公司不锈钢配料罐等非标设备采购项目公开招标公告'],['[2019-09-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17560']
[''],['场地环境调查及风险评估服务项目最高采购限价征集函'],['[2019-09-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17556']
[''],['旧村改造专项法律服务最高采购限价征集函'],['[2019-09-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17555']
['GZQS1901HX09020M'],['肇庆市第二人民医院人力资源管理系统采购项目采购公告'],['[2019-09-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17596']
['QSHG201900275'],['广东省兴龙实业公司2019年购置裁床设备项目公开招标公告'],['[2019-09-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17550']
['QSFD201900303'],['广州市公安局花都区分局2019-2022年邮政送达服务项目单一来源采购公告'],['[2019-09-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17549']
['GZQS1901FC09021Z'],['封开县白垢学校建设广东省信息化中心学校项目竞争性磋商公告'],['[2019-09-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17547']
['GZQS1901FG09035W'],['增城广场公交首末站场维护保养服务项目公开招标公告'],['[2019-09-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17541']
['GZQS1901FC09033SH'],['仁化县董塘镇移民村文化建设布展服务采购项目竞争性磋商公告'],['[2019-09-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17540']
['GZQS1901FG09029M'],['梅州市城市建设档案馆数据加工处理服务项目（项目编号：GZQS1901FG09029M）公开招标公告'],['[2019-09-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17543']
['GZQS1901HG08017M'],['广东兴宁农村商业银行股份有限公司总行及网点线路改造项目(项目编号：GZQS1901HG08017M)公开招标公告'],['[2019-09-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17631']
['GZQS1901HG09019SH'],['韶关市强制隔离戒毒医疗设备采购项目公开招标公告'],['[2019-09-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17537']
['GZQS1901FC09016Z'],['肇庆市高要区教育局中小学幼儿园应急疏散演练师资培训班服务采购项目的竞争性磋商公告'],['[2019-09-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17534']
['QSHG201900284'],['广州市公安局从化区分局被监管人员被服采购项目公开招标公告'],['[2019-09-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17530']
['GZQS1901FT09034W'],['增城区文化馆广场舞《木叶吹》与舞蹈《挂绿》创作服务项目竞争性谈判采购公告'],['[2019-09-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17527']
['QSHG201900244'],['广州市黄埔区禁毒教育活动中心项目公开招标公告'],['[2019-09-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17520']
['QSFC201900047'],['2019年至2020年东涌镇全域旅游策划及项目招商顾问咨询服务竞争性磋商采购公告'],['[2019-09-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17517']
[''],['德庆县融媒体中心技术平台建设项目单一来源采购公示'],['[2019-09-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17512']
['QSFC201900298'],['潮南区练江流域水环境综合整治2018-2020年监测服务项目竞争性磋商采购公告'],['[2019-09-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17509']
['GZQS1901GT09032M'],['梅州市交通技工学校产教研发基地三通一平项目（采购项目编号：GZQS1901GT09032M）竞争性谈判采购公告'],['[2019-09-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17573']
['QSFC201900299'],['潮阳区练江流域水环境综合整治2018-2020年监测服务项目竞争性磋商采购公告'],['[2019-09-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17508']
['QSHG201900174'],['广东省清远监狱服刑人员大宗生活物资采购（伙房副食品）项目公开招标公告'],['[2019-09-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17507']
['GZQS1901HG09038M'],['梅州市城市照明养护中心德龙桥异形路灯、异形公园庭院灯采购（含安装） 项目 公开招标公告'],['[2019-09-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17616']
['QSFC201900225'],['黄埔海关服务器云平台维保服务项目竞争性磋商采购公告'],['[2019-09-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17502']
['GZQS1901HT09023Z'],['肇庆市自然资源局高要分局2019年高要区临时森林防火检查站牌和修改原有森林防火及生态宣传牌落款名称采购项目 竞争性谈判公告'],['[2019-09-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17562']
['GZQS1901HG08053W'],['广州市增城区农业局科普展示馆设备采购项目公开招标公告'],['[2019-09-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17495']
['GZQS1901FC09002W'],['2019年增城区庆祝中华人民共和国成立70周年文艺晚会项目竞争性磋商采购公告'],['[2019-09-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17492']
['QSHG201900263'],['广州市反恐怖指挥中心暨广州公安多功能联合指挥中心功能台体采购项目公开招标公告'],['[2019-09-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17490']
['QSHG201900278'],['广州市白云区钟落潭镇（8村4社）视频监控项目公开招标公告'],['[2019-09-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17489']
['441402-201909-361023-0011'],['梅州市梅江区卫生健康局健康管理平台采购项目询价采购'],['[2019-09-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17496']
['440200-201909-217001-0176'],['韶关市公安局莞韶园黄沙坪十字路口等10个路口建设红绿灯、电警设备项目公开招标公告'],['[2019-09-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17486']
['QSHG201900272'],['广州市公安局花都区分局看守所在押人员肉菜供应项目公开招标公告'],['[2019-09-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17484']
['QSHC201900254'],['广州市公安局增城区分局2019年辅警队伍装备购置项目竞争性磋商采购公告'],['[2019-09-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17481']
['QSFG201900293'],['人才大厦第三方物业管理服务项目公开招标公告'],['[2019-09-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17477']
['QSHC201900261'],['广州市公安局增城区分局痕迹、DNA、法医和化验专业消耗品购置项目竞争性磋商采购公告'],['[2019-09-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17476']
['QSFG201900247'],['广东省广业环保产业集团有限公司湛江经营部所辖12个污水处理厂水质在线监测系统委托运行、维护项目公开招标公告'],['[2019-09-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17475']
['QSFC201900251'],['广州空港经济区管理委员会采购招商项目专家评审服务项目竞争性磋商采购公告'],['[2019-09-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17473']
['QSHG201900235'],['辅警服装（第二次）公开招标公告'],['[2019-09-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17472']
['QSHC201900194'],['广州市公安局增城区分局毛发检测检材购置项目（第二次）竞争性谈判采购公告'],['[2019-09-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17471']
['QSHG201900266'],['广州市公安局增城区分局2019年辅警队伍服装购置项目公开招标公告'],['[2019-09-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17465']
['GZQS1901FC08033SH'],['国家税务总局南雄市税务局党员活动室布展项目竞争性磋商公告'],['[2019-09-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17461']
['GZQS1901HX09008Z'],['肇庆市高要区第一中学饭堂室内LED显示屏及监控设备采购项目采购公告'],['[2019-09-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17513']
['440204-201909-3330201-0013'],['韶关市步行街委托管理服务采购项目公开招标公告'],['[2019-09-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=17459']
